sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
37500,38120,Raiden Thrust,36689.0,186200,88583,65833,97256,268503,66134,44206,126286,77804,66134,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
39960,40492,Auto,9619.0,195819,88583,65833,97256,268503,66134,44206,126286,77804,66134,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
30000,40500,Chaotic Spring (dot),5579.0,195819,88583,71412,97256,268503,66134,44206,126286,77804,66134,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
40000,40940,Lance Barrage,38982.0,195819,88583,71412,97256,268503,66134,44206,126286,77804,105116,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
42500,43210,Heavens' Thrust,52741.0,195819,88583,71412,97256,268503,66134,44206,179027,77804,105116,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
42760,43292,Auto,9612.0,205431,88583,71412,97256,268503,66134,44206,179027,77804,105116,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
30000,43500,Chaotic Spring (dot),5579.0,205431,88583,76991,97256,268503,66134,44206,179027,77804,105116,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
45000,45620,Fang and Claw,38955.0,205431,88583,76991,97256,268503,105089,44206,179027,77804,105116,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
45560,46092,Auto,9612.0,215043,88583,76991,97256,268503,105089,44206,179027,77804,105116,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
30000,46500,Chaotic Spring (dot),5579.0,215043,88583,82570,97256,268503,105089,44206,179027,77804,105116,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
47500,48120,Drakesbane,52704.0,215043,88583,82570,97256,321207,105089,44206,179027,77804,105116,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
48360,48892,Auto,9612.0,224655,88583,82570,97256,321207,105089,44206,179027,77804,105116,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
30000,49500,Chaotic Spring (dot),5579.0,224655,88583,88149,97256,321207,105089,44206,179027,77804,105116,73912,140049,0,155513,106986,68487,136165,163395,23973,108316,77806
50000,50620,Raiden Thrust,36664.0,224655,88583,88149,97256,321207,105089,44206,179027,77804,105116,73912,140049,0,192177,106986,68487,136165,163395,23973,108316,77806
51160,51692,Auto,9612.0,234267,88583,88149,97256,321207,105089,44206,179027,77804,105116,73912,140049,0,192177,106986,68487,136165,163395,23973,108316,77806
50620,51820,Wyrmwind Thrust,50414.0,234267,88583,88149,97256,321207,105089,44206,179027,77804,105116,73912,140049,0,192177,106986,68487,136165,163395,23973,108316,128220
30000,52500,Chaotic Spring (dot),5579.0,234267,88583,93728,97256,321207,105089,44206,179027,77804,105116,73912,140049,0,192177,106986,68487,136165,163395,23973,108316,128220
53120,53610,High Jump,45832.0,234267,88583,93728,97256,321207,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,68487,136165,163395,23973,108316,128220
52500,53880,Spiral Blow,34372.0,234267,88583,93728,97256,321207,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,108316,128220
53960,54492,Auto,9612.0,243879,88583,93728,97256,321207,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,108316,128220
55000,55450,Chaotic Spring,38955.0,243879,127538,93728,97256,321207,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,108316,128220
55000,55500,Chaotic Spring (dot),5153.0,243879,127538,98881,97256,321207,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,108316,128220
56760,57292,Auto,9612.0,253491,127538,98881,97256,321207,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,108316,128220
57500,58120,Wheeling Thrust,38955.0,253491,127538,98881,97256,321207,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,147271,128220
55000,58500,Chaotic Spring (dot),5153.0,253491,127538,104034,97256,321207,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,147271,128220
59560,60092,Auto,9612.0,263103,127538,104034,97256,321207,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,147271,128220
60000,60620,Drakesbane,52704.0,263103,127538,104034,97256,373911,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,147271,128220
55000,61500,Chaotic Spring (dot),5153.0,263103,127538,109187,97256,373911,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,147271,128220
62360,62892,Auto,9612.0,272715,127538,109187,97256,373911,105089,44206,179027,123636,105116,73912,140049,0,192177,106986,102859,136165,163395,23973,147271,128220
62500,63120,Raiden Thrust,36664.0,272715,127538,109187,97256,373911,105089,44206,179027,123636,105116,73912,140049,0,228841,106986,102859,136165,163395,23973,147271,128220
55000,64500,Chaotic Spring (dot),5153.0,272715,127538,114340,97256,373911,105089,44206,179027,123636,105116,73912,140049,0,228841,106986,102859,136165,163395,23973,147271,128220
65160,65692,Auto,10574.0,283289,127538,114340,97256,373911,105089,44206,179027,123636,105116,73912,140049,0,228841,106986,102859,136165,163395,23973,147271,128220
65000,65940,Lance Barrage,42851.0,283289,127538,114340,97256,373911,105089,44206,179027,123636,147967,73912,140049,0,228841,106986,102859,136165,163395,23973,147271,128220
66240,66910,Geirskogul,35287.0,283289,127538,114340,97256,373911,105089,79493,179027,123636,147967,73912,140049,0,228841,106986,102859,136165,163395,23973,147271,128220
55000,67500,Chaotic Spring (dot),5153.0,283289,127538,119493,97256,373911,105089,79493,179027,123636,147967,73912,140049,0,228841,106986,102859,136165,163395,23973,147271,128220
67500,68210,Heavens' Thrust,92393.0,283289,127538,119493,97256,373911,105089,79493,271420,123636,147967,73912,140049,0,228841,106986,102859,136165,163395,23973,147271,128220
67960,68492,Auto,12160.0,295449,127538,119493,97256,373911,105089,79493,271420,123636,147967,73912,140049,0,228841,106986,102859,136165,163395,23973,147271,128220
68120,68920,Mirage Dive,55075.0,295449,127538,119493,97256,373911,105089,79493,271420,123636,147967,128987,140049,0,228841,106986,102859,136165,163395,23973,147271,128220
68740,69500,Nastrond,104360.0,295449,127538,119493,97256,373911,105089,79493,271420,123636,147967,128987,244409,0,228841,106986,102859,136165,163395,23973,147271,128220
55000,70500,Chaotic Spring (dot),5153.0,295449,127538,124646,97256,373911,105089,79493,271420,123636,147967,128987,244409,0,228841,106986,102859,136165,163395,23973,147271,128220
70000,70620,Fang and Claw,49278.0,295449,127538,124646,97256,373911,154367,79493,271420,123636,147967,128987,244409,0,228841,106986,102859,136165,163395,23973,147271,128220
70760,71292,Auto,12160.0,307609,127538,124646,97256,373911,154367,79493,271420,123636,147967,128987,244409,0,228841,106986,102859,136165,163395,23973,147271,128220
70620,71910,Stardiver,121754.0,307609,127538,124646,97256,373911,154367,79493,271420,123636,147967,128987,244409,0,228841,106986,102859,136165,285149,23973,147271,128220
72500,73120,Drakesbane,66671.0,307609,127538,124646,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,228841,106986,102859,136165,285149,23973,147271,128220
55000,73500,Chaotic Spring (dot),5153.0,307609,127538,129799,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,228841,106986,102859,136165,285149,23973,147271,128220
73560,74092,Auto,12160.0,319769,127538,129799,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,228841,106986,102859,136165,285149,23973,147271,128220
73120,74100,Starcross,101464.0,319769,127538,129799,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,228841,106986,102859,237629,285149,23973,147271,128220
75000,75620,Raiden Thrust,46380.0,319769,127538,129799,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,275221,106986,102859,237629,285149,23973,147271,128220
55000,76500,Chaotic Spring (dot),5153.0,319769,127538,134952,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,275221,106986,102859,237629,285149,23973,147271,128220
75620,76820,Wyrmwind Thrust,63774.0,319769,127538,134952,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,275221,106986,102859,237629,285149,23973,147271,191994
76360,76892,Auto,12160.0,331929,127538,134952,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,275221,106986,102859,237629,285149,23973,147271,191994
77500,78880,Spiral Blow,43481.0,331929,127538,134952,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,275221,106986,146340,237629,285149,23973,147271,191994
79160,79692,Auto,12160.0,344089,127538,134952,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,275221,106986,146340,237629,285149,23973,147271,191994
80000,80450,Chaotic Spring,49278.0,344089,176816,134952,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,275221,106986,146340,237629,285149,23973,147271,191994
81960,82492,Auto,12124.0,356213,176816,134952,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,275221,106986,146340,237629,285149,23973,147271,191994
80000,82500,Chaotic Spring (dot),6518.0,356213,176816,141470,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,275221,106986,146340,237629,285149,23973,147271,191994
82500,83120,Wheeling Thrust,49130.0,356213,176816,141470,97256,440582,154367,79493,271420,123636,147967,128987,244409,0,275221,106986,146340,237629,285149,23973,196401,191994
83120,83610,High Jump,57803.0,356213,176816,141470,97256,440582,154367,79493,271420,181439,147967,128987,244409,0,275221,106986,146340,237629,285149,23973,196401,191994
83920,84720,Mirage Dive,54909.0,356213,176816,141470,97256,440582,154367,79493,271420,181439,147967,183896,244409,0,275221,106986,146340,237629,285149,23973,196401,191994
84760,85292,Auto,11021.0,367234,176816,141470,97256,440582,154367,79493,271420,181439,147967,183896,244409,0,275221,106986,146340,237629,285149,23973,196401,191994
80000,85500,Chaotic Spring (dot),6518.0,367234,176816,147988,97256,440582,154367,79493,271420,181439,147967,183896,244409,0,275221,106986,146340,237629,285149,23973,196401,191994
85000,85620,Drakesbane,60428.0,367234,176816,147988,97256,501010,154367,79493,271420,181439,147967,183896,244409,0,275221,106986,146340,237629,285149,23973,196401,191994
87560,88092,Auto,9584.0,376818,176816,147988,97256,501010,154367,79493,271420,181439,147967,183896,244409,0,275221,106986,146340,237629,285149,23973,196401,191994
87500,88120,Raiden Thrust,36553.0,376818,176816,147988,97256,501010,154367,79493,271420,181439,147967,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
80000,88500,Chaotic Spring (dot),6518.0,376818,176816,154506,97256,501010,154367,79493,271420,181439,147967,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
90360,90892,Auto,9584.0,386402,176816,154506,97256,501010,154367,79493,271420,181439,147967,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
90000,90940,Lance Barrage,38838.0,386402,176816,154506,97256,501010,154367,79493,271420,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
80000,91500,Chaotic Spring (dot),6518.0,386402,176816,161024,97256,501010,154367,79493,271420,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
92500,93210,Heavens' Thrust,52546.0,386402,176816,161024,97256,501010,154367,79493,323966,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
93160,93692,Auto,9584.0,395986,176816,161024,97256,501010,154367,79493,323966,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
80000,94500,Chaotic Spring (dot),6518.0,395986,176816,167542,97256,501010,154367,79493,323966,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
95000,95620,Fang and Claw,38838.0,395986,176816,167542,97256,501010,193205,79493,323966,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
95960,96492,Auto,9584.0,405570,176816,167542,97256,501010,193205,79493,323966,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
80000,97500,Chaotic Spring (dot),6518.0,405570,176816,174060,97256,501010,193205,79493,323966,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
97500,98120,Drakesbane,52546.0,405570,176816,174060,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
98760,99292,Auto,9584.0,415154,176816,174060,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
80000,100500,Chaotic Spring (dot),6518.0,415154,176816,180578,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,311774,106986,146340,237629,285149,23973,196401,191994
100000,100620,Raiden Thrust,36553.0,415154,176816,180578,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,146340,237629,285149,23973,196401,191994
100620,101820,Wyrmwind Thrust,50262.0,415154,176816,180578,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,146340,237629,285149,23973,196401,242256
101560,102092,Auto,9584.0,424738,176816,180578,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,146340,237629,285149,23973,196401,242256
80000,103500,Chaotic Spring (dot),6518.0,424738,176816,187096,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,146340,237629,285149,23973,196401,242256
102500,103880,Spiral Blow,34268.0,424738,176816,187096,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,180608,237629,285149,23973,196401,242256
104360,104892,Auto,9584.0,434322,176816,187096,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,180608,237629,285149,23973,196401,242256
105000,105450,Chaotic Spring,38838.0,434322,215654,187096,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,180608,237629,285149,23973,196401,242256
105000,106500,Chaotic Spring (dot),5137.0,434322,215654,192233,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,180608,237629,285149,23973,196401,242256
107160,107692,Auto,9584.0,443906,215654,192233,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,180608,237629,285149,23973,196401,242256
107500,108120,Wheeling Thrust,38838.0,443906,215654,192233,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,180608,237629,285149,23973,235239,242256
105000,109500,Chaotic Spring (dot),5137.0,443906,215654,197370,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,180608,237629,285149,23973,235239,242256
109960,110492,Auto,9584.0,453490,215654,197370,97256,553556,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,180608,237629,285149,23973,235239,242256
110000,110620,Drakesbane,52546.0,453490,215654,197370,97256,606102,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,180608,237629,285149,23973,235239,242256
105000,112500,Chaotic Spring (dot),5137.0,453490,215654,202507,97256,606102,193205,79493,323966,181439,186805,183896,244409,0,348327,106986,180608,237629,285149,23973,235239,242256
112500,113120,Raiden Thrust,36553.0,453490,215654,202507,97256,606102,193205,79493,323966,181439,186805,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
112760,113292,Auto,9584.0,463074,215654,202507,97256,606102,193205,79493,323966,181439,186805,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
113120,113610,High Jump,45694.0,463074,215654,202507,97256,606102,193205,79493,323966,227133,186805,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
105000,115500,Chaotic Spring (dot),5137.0,463074,215654,207644,97256,606102,193205,79493,323966,227133,186805,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
115000,115940,Lance Barrage,38838.0,463074,215654,207644,97256,606102,193205,79493,323966,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
115560,116092,Auto,9584.0,472658,215654,207644,97256,606102,193205,79493,323966,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
117500,118210,Heavens' Thrust,52546.0,472658,215654,207644,97256,606102,193205,79493,376512,227133,225643,183896,244409,0,384880,106986,180608,237629,285149,23973,235239,242256
