sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
279125,286500,Circle of Scorn (dot),2392.0,467308,757716,396916,522252,459575,522252,128892,133276,522252,414521,247117,365569,572289,302892,156636,370741,502757,555532,515238
286000,287293,Atonement,36701.0,504009,757716,396916,522252,459575,522252,128892,133276,522252,414521,247117,365569,572289,302892,156636,370741,502757,555532,515238
286978,287510,Auto,5328.0,504009,763044,396916,522252,459575,522252,128892,133276,522252,414521,247117,365569,572289,302892,156636,370741,502757,555532,515238
279125,289500,Circle of Scorn (dot),2392.0,504009,763044,396916,522252,459575,522252,128892,135668,522252,414521,247117,365569,572289,302892,156636,370741,502757,555532,515238
288500,289660,Supplication,39894.0,504009,763044,396916,522252,459575,522252,128892,135668,522252,414521,247117,365569,572289,302892,156636,370741,502757,555532,555132
289218,289750,Auto,5328.0,504009,768372,396916,522252,459575,522252,128892,135668,522252,414521,247117,365569,572289,302892,156636,370741,502757,555532,555132
291458,291990,Auto,5328.0,504009,773700,396916,522252,459575,522252,128892,135668,522252,414521,247117,365569,572289,302892,156636,370741,502757,555532,555132
291000,292290,Sepulchre,43082.0,504009,773700,396916,522252,459575,522252,128892,135668,522252,414521,247117,365569,572289,302892,156636,370741,502757,598614,555132
279125,292500,Circle of Scorn (dot),2392.0,504009,773700,396916,522252,459575,522252,128892,138060,522252,414521,247117,365569,572289,302892,156636,370741,502757,598614,555132
293698,294230,Auto,5328.0,504009,779028,396916,522252,459575,522252,128892,138060,522252,414521,247117,365569,572289,302892,156636,370741,502757,598614,555132
293500,294258,Holy Spirit,39894.0,504009,779028,396916,522252,459575,522252,128892,138060,522252,414521,247117,365569,612183,302892,156636,370741,502757,598614,555132
