sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
23557,24089,Auto,10256.0,77013,306132,19401,246316,27490,42718,126676,140754,71410,40431,0,42841
25171,25703,Heavy Swing,24474.0,77013,306132,43875,246316,27490,42718,126676,140754,71410,40431,0,42841
26917,27449,Auto,9676.0,86689,306132,43875,246316,27490,42718,126676,140754,71410,40431,0,42841
27671,28294,Maim,32714.0,86689,306132,43875,246316,60204,42718,126676,140754,71410,40431,0,42841
30277,30809,Auto,9676.0,96365,306132,43875,246316,60204,42718,126676,140754,71410,40431,0,42841
30796,31463,Onslaught,14430.0,96365,306132,43875,246316,60204,57148,126676,140754,71410,40431,0,42841
30171,31686,Storm's Path,48117.0,96365,306132,43875,246316,60204,57148,126676,140754,71410,40431,48117,42841
32671,33294,Fell Cleave,55814.0,96365,361946,43875,246316,60204,57148,126676,140754,71410,40431,48117,42841
33637,34169,Auto,9676.0,106041,361946,43875,246316,60204,57148,126676,140754,71410,40431,48117,42841
35171,36108,Inner Chaos,116187.0,106041,361946,43875,362503,60204,57148,126676,140754,71410,40431,48117,42841
36997,37529,Auto,9676.0,115717,361946,43875,362503,60204,57148,126676,140754,71410,40431,48117,42841
37671,38203,Heavy Swing,21341.0,115717,361946,65216,362503,60204,57148,126676,140754,71410,40431,48117,42841
38296,38919,Upheaval,37355.0,115717,361946,65216,362503,60204,57148,126676,140754,71410,40431,48117,80196
40171,40794,Maim,30239.0,115717,361946,65216,362503,90443,57148,126676,140754,71410,40431,48117,80196
40357,40889,Auto,8941.0,124658,361946,65216,362503,90443,57148,126676,140754,71410,40431,48117,80196
43717,44249,Auto,8941.0,133599,361946,65216,362503,90443,57148,126676,140754,71410,40431,48117,80196
42671,44320,Storm's Eye,44474.0,133599,361946,65216,362503,90443,57148,126676,140754,71410,84905,48117,80196
45171,45703,Heavy Swing,21341.0,133599,361946,86557,362503,90443,57148,126676,140754,71410,84905,48117,80196
47077,47609,Auto,8941.0,142540,361946,86557,362503,90443,57148,126676,140754,71410,84905,48117,80196
47671,48294,Maim,30239.0,142540,361946,86557,362503,120682,57148,126676,140754,71410,84905,48117,80196
50437,50969,Auto,8941.0,151481,361946,86557,362503,120682,57148,126676,140754,71410,84905,48117,80196
50171,51820,Storm's Eye,44474.0,151481,361946,86557,362503,120682,57148,126676,140754,71410,129379,48117,80196
52671,53203,Heavy Swing,21341.0,151481,361946,107898,362503,120682,57148,126676,140754,71410,129379,48117,80196
53797,54329,Auto,8941.0,160422,361946,107898,362503,120682,57148,126676,140754,71410,129379,48117,80196
55171,55794,Maim,30239.0,160422,361946,107898,362503,150921,57148,126676,140754,71410,129379,48117,80196
57157,57689,Auto,8941.0,169363,361946,107898,362503,150921,57148,126676,140754,71410,129379,48117,80196
57671,58294,Fell Cleave,51589.0,169363,413535,107898,362503,150921,57148,126676,140754,71410,129379,48117,80196
60517,61049,Auto,8941.0,178304,413535,107898,362503,150921,57148,126676,140754,71410,129379,48117,80196
60171,61686,Storm's Path,44474.0,178304,413535,107898,362503,150921,57148,126676,140754,71410,129379,92591,80196
62671,63203,Heavy Swing,21341.0,178304,413535,129239,362503,150921,57148,126676,140754,71410,129379,92591,80196
63877,64409,Auto,8941.0,187245,413535,129239,362503,150921,57148,126676,140754,71410,129379,92591,80196
