sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aero in Green,Auto,Blizzard in Cyan,Clawed Muse,Comet in Black,Fanged Muse,Fire in Red,Hammer Brush,Hammer Stamp,Holy in White,Mog of the Ages,Polishing Hammer,Pom Muse,Rainbow Drip,Retribution of the Madeen,Star Prism,Stone in Yellow,Thunder in Magenta,Water in Blue,Winged Muse
392845,393377,Auto,0.0,787390,0,1810636,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,333810,847437,620457,816134,1319111,1090040,1077726,407110
396955,397487,Auto,0.0,787390,0,1810636,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,333810,847437,620457,816134,1319111,1090040,1077726,407110
400956,401488,Auto,0.0,787390,0,1810636,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,333810,847437,620457,816134,1319111,1090040,1077726,407110
404956,405488,Auto,0.0,787390,0,1810636,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,333810,847437,620457,816134,1319111,1090040,1077726,407110
407756,408506,Blizzard in Cyan,116324.0,787390,0,1926960,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,333810,847437,620457,816134,1319111,1090040,1077726,407110
408256,408788,Auto,0.0,787390,0,1926960,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,333810,847437,620457,816134,1319111,1090040,1077726,407110
411056,411856,Stone in Yellow,121790.0,787390,0,1926960,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,333810,847437,620457,816134,1440901,1090040,1077726,407110
411556,412088,Auto,0.0,787390,0,1926960,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,333810,847437,620457,816134,1440901,1090040,1077726,407110
413556,414536,Water in Blue,77092.0,787390,0,1926960,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,333810,847437,620457,816134,1440901,1090040,1154818,407110
414156,414776,Pom Muse,108258.0,787390,0,1926960,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1440901,1090040,1154818,407110
414516,415048,Auto,0.0,787390,0,1926960,333476,1702730,413089,728137,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1440901,1090040,1154818,407110
416056,416896,Fire in Red,66293.0,787390,0,1926960,333476,1702730,413089,794430,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1440901,1090040,1154818,407110
417476,418008,Auto,0.0,787390,0,1926960,333476,1702730,413089,794430,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1440901,1090040,1154818,407110
418556,419446,Aero in Green,71692.0,859082,0,1926960,333476,1702730,413089,794430,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1440901,1090040,1154818,407110
421056,422036,Water in Blue,77092.0,859082,0,1926960,333476,1702730,413089,794430,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1440901,1090040,1231910,407110
421556,422088,Auto,0.0,859082,0,1926960,333476,1702730,413089,794430,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1440901,1090040,1231910,407110
424356,425106,Blizzard in Cyan,116324.0,859082,0,2043284,333476,1702730,413089,794430,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1440901,1090040,1231910,407110
424856,425388,Auto,0.0,859082,0,2043284,333476,1702730,413089,794430,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1440901,1090040,1231910,407110
427656,428456,Stone in Yellow,121790.0,859082,0,2043284,333476,1702730,413089,794430,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1562691,1090040,1231910,407110
428156,428688,Auto,0.0,859082,0,2043284,333476,1702730,413089,794430,1306296,1260816,474950,461294,1311542,442068,847437,620457,816134,1562691,1090040,1231910,407110
429156,430536,Hammer Stamp,130479.0,859082,0,2043284,333476,1702730,413089,794430,1306296,1391295,474950,461294,1311542,442068,847437,620457,816134,1562691,1090040,1231910,407110
431116,431648,Auto,0.0,859082,0,2043284,333476,1702730,413089,794430,1306296,1391295,474950,461294,1311542,442068,847437,620457,816134,1562691,1090040,1231910,407110
431656,432906,Hammer Brush,135187.0,859082,0,2043284,333476,1702730,413089,794430,1441483,1391295,474950,461294,1311542,442068,847437,620457,816134,1562691,1090040,1231910,407110
434076,434608,Auto,0.0,859082,0,2043284,333476,1702730,413089,794430,1441483,1391295,474950,461294,1311542,442068,847437,620457,816134,1562691,1090040,1231910,407110
434156,436256,Polishing Hammer,139897.0,859082,0,2043284,333476,1702730,413089,794430,1441483,1391295,474950,461294,1451439,442068,847437,620457,816134,1562691,1090040,1231910,407110
439656,440188,Auto,0.0,859082,0,2043284,333476,1702730,413089,794430,1441483,1391295,474950,461294,1451439,442068,847437,620457,816134,1562691,1090040,1231910,407110
443656,444188,Auto,0.0,859082,0,2043284,333476,1702730,413089,794430,1441483,1391295,474950,461294,1451439,442068,847437,620457,816134,1562691,1090040,1231910,407110
443756,444736,Winged Muse,107924.0,859082,0,2043284,333476,1702730,413089,794430,1441483,1391295,474950,461294,1451439,442068,847437,620457,816134,1562691,1090040,1231910,515034
447656,448188,Auto,0.0,859082,0,2043284,333476,1702730,413089,794430,1441483,1391295,474950,461294,1451439,442068,847437,620457,816134,1562691,1090040,1231910,515034
448657,450527,Comet in Black,126797.0,859082,0,2043284,333476,1829527,413089,794430,1441483,1391295,474950,461294,1451439,442068,847437,620457,816134,1562691,1090040,1231910,515034
450616,451148,Auto,0.0,859082,0,2043284,333476,1829527,413089,794430,1441483,1391295,474950,461294,1451439,442068,847437,620457,816134,1562691,1090040,1231910,515034
453757,454607,Thunder in Magenta,126797.0,859082,0,2043284,333476,1829527,413089,794430,1441483,1391295,474950,461294,1451439,442068,847437,620457,816134,1562691,1216837,1231910,515034
454257,454789,Auto,0.0,859082,0,2043284,333476,1829527,413089,794430,1441483,1391295,474950,461294,1451439,442068,847437,620457,816134,1562691,1216837,1231910,515034
456257,457097,Fire in Red,66089.0,859082,0,2043284,333476,1829527,413089,860519,1441483,1391295,474950,461294,1451439,442068,847437,620457,816134,1562691,1216837,1231910,515034
