sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Communio,Cross Reaping,Executioner's Gallows,Executioner's Gibbet,Gallows,Gibbet,Gluttony,Harpe,Harvest Moon,Infernal Slice,Lemure's Slice,Perfectio,Plentiful Harvest,Sacrificium,Shadow of Death,Slice,Soul Slice,Unveiled Gallows,Unveiled Gibbet,Void Reaping,Waxing Slice
80068,81228,Shadow of Death,33945.0,295453,270180,314376,201401,188662,70159,146092,131950,30859,0,203685,137528,172198,132459,171931,135489,146482,250244,49788,108065,299640,169737
80688,81228,Unveiled Gallows,49788.0,295453,270180,314376,201401,188662,70159,146092,131950,30859,0,203685,137528,172198,132459,171931,135489,146482,250244,99576,108065,299640,169737
82558,83048,Gallows,70159.0,295453,270180,314376,201401,188662,140318,146092,131950,30859,0,203685,137528,172198,132459,171931,135489,146482,250244,99576,108065,299640,169737
83845,84377,Auto,10837.0,306290,270180,314376,201401,188662,140318,146092,131950,30859,0,203685,137528,172198,132459,171931,135489,146482,250244,99576,108065,299640,169737
85049,85539,Slice,47524.0,306290,270180,314376,201401,188662,140318,146092,131950,30859,0,203685,137528,172198,132459,171931,135489,194006,250244,99576,108065,299640,169737
87045,87577,Auto,10837.0,317127,270180,314376,201401,188662,140318,146092,131950,30859,0,203685,137528,172198,132459,171931,135489,194006,250244,99576,108065,299640,169737
87539,88119,Waxing Slice,56579.0,317127,270180,314376,201401,188662,140318,146092,131950,30859,0,203685,137528,172198,132459,171931,135489,194006,250244,99576,108065,299640,226316
90030,90570,Infernal Slice,67895.0,317127,270180,314376,201401,188662,140318,146092,131950,30859,0,271580,137528,172198,132459,171931,135489,194006,250244,99576,108065,299640,226316
90245,90777,Auto,10837.0,327964,270180,314376,201401,188662,140318,146092,131950,30859,0,271580,137528,172198,132459,171931,135489,194006,250244,99576,108065,299640,226316
92520,93010,Slice,47524.0,327964,270180,314376,201401,188662,140318,146092,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,250244,99576,108065,299640,226316
93445,93977,Auto,10837.0,338801,270180,314376,201401,188662,140318,146092,131950,30859,0,271580,137528,172198,132459,171931,135489,241530,250244,99576,108065,299640,226316
