sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
42893,43425,Auto,6741.0,57467,142759,171525,20067,40125,61238,0,133821,66315,97260,0,48626,72258,127448,120436,107055,110523,79200,45490,80270,123788
45000,46074,Brutal Shell,30597.0,57467,142759,171525,20067,40125,91835,0,133821,66315,97260,0,48626,72258,127448,120436,107055,110523,79200,45490,80270,123788
45693,46225,Auto,6741.0,57467,149500,171525,20067,40125,91835,0,133821,66315,97260,0,48626,72258,127448,120436,107055,110523,79200,45490,80270,123788
48493,49025,Auto,6741.0,57467,156241,171525,20067,40125,91835,0,133821,66315,97260,0,48626,72258,127448,120436,107055,110523,79200,45490,80270,123788
47500,49153,Solid Barrel,37040.0,57467,156241,171525,20067,40125,91835,0,133821,66315,97260,0,48626,72258,127448,120436,107055,110523,116240,45490,80270,123788
50000,50893,Keen Edge,24154.0,57467,156241,171525,20067,40125,91835,0,133821,66315,97260,0,48626,96412,127448,120436,107055,110523,116240,45490,80270,123788
51293,51825,Auto,6741.0,57467,162982,171525,20067,40125,91835,0,133821,66315,97260,0,48626,96412,127448,120436,107055,110523,116240,45490,80270,123788
52500,53574,Brutal Shell,30597.0,57467,162982,171525,20067,40125,122432,0,133821,66315,97260,0,48626,96412,127448,120436,107055,110523,116240,45490,80270,123788
54093,54625,Auto,6741.0,57467,169723,171525,20067,40125,122432,0,133821,66315,97260,0,48626,96412,127448,120436,107055,110523,116240,45490,80270,123788
55000,56653,Solid Barrel,37040.0,57467,169723,171525,20067,40125,122432,0,133821,66315,97260,0,48626,96412,127448,120436,107055,110523,153280,45490,80270,123788
