sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Afflatus Misery,Assize,Auto,Dia,Dia (dot),Glare III,Glare IV
54231,82500,Dia (dot),85,1.0,2800,800,1800,255,2380,8400,1920
82422,82954,Auto,90,1.0,2800,800,1890,255,2380,8400,1920
81922,83212,Glare III,350,1.0,2800,800,1890,255,2380,8750,1920
83392,84682,Dia,85,1.0,2800,800,1890,340,2380,8750,1920
83392,85500,Dia (dot),85,1.0,2800,800,1890,340,2465,8750,1920
87282,87814,Auto,90,1.0,2800,800,1980,340,2465,8750,1920
86782,88072,Glare III,350,1.0,2800,800,1980,340,2465,9100,1920
83392,88500,Dia (dot),85,1.0,2800,800,1980,340,2550,9100,1920
89814,90484,Assize,400,1.0,2800,1200,1980,340,2550,9100,1920
89212,90502,Glare III,350,1.0,2800,1200,1980,340,2550,9450,1920
90722,91254,Auto,90,1.0,2800,1200,2070,340,2550,9450,1920
83392,91500,Dia (dot),85,1.0,2800,1200,2070,340,2635,9450,1920
83392,94500,Dia (dot),85,1.0,2800,1200,2070,340,2720,9450,1920
94162,94694,Auto,90,1.0,2800,1200,2160,340,2720,9450,1920
83392,97500,Dia (dot),85,1.0,2800,1200,2160,340,2805,9450,1920
97602,98134,Auto,90,1.0,2800,1200,2250,340,2805,9450,1920
98932,100222,Glare III,350,1.0,2800,1200,2250,340,2805,9800,1920
83392,100500,Dia (dot),85,1.0,2800,1200,2250,340,2890,9800,1920
101862,102394,Auto,90,1.0,2800,1200,2340,340,2890,9800,1920
101362,102652,Glare III,350,1.0,2800,1200,2340,340,2890,10150,1920
83392,103500,Dia (dot),85,1.0,2800,1200,2340,340,2975,10150,1920
103792,105082,Glare III,350,1.0,2800,1200,2340,340,2975,10500,1920
83392,106500,Dia (dot),85,1.0,2800,1200,2340,340,3060,10500,1920
106722,107254,Auto,90,1.0,2800,1200,2430,340,3060,10500,1920
106222,107512,Glare III,350,1.0,2800,1200,2430,340,3060,10850,1920
83392,109500,Dia (dot),85,1.0,2800,1200,2430,340,3145,10850,1920
108652,109942,Glare III,350,1.0,2800,1200,2430,340,3145,11200,1920
111582,112114,Auto,90,1.0,2800,1200,2520,340,3145,11200,1920
111082,112372,Glare III,350,1.0,2800,1200,2520,340,3145,11550,1920
83392,112500,Dia (dot),85,1.0,2800,1200,2520,340,3230,11550,1920
113513,114803,Glare III,350,1.0,2800,1200,2520,340,3230,11900,1920
115022,115554,Auto,90,1.0,2800,1200,2610,340,3230,11900,1920
114983,116273,Dia,85,1.0,2800,1200,2610,425,3230,11900,1920
114983,118500,Dia (dot),85,1.0,2800,1200,2610,425,3315,11900,1920
118873,119405,Auto,90,1.0,2800,1200,2700,425,3315,11900,1920
118373,119663,Glare III,350,1.0,2800,1200,2700,425,3315,12250,1920
114983,121500,Dia (dot),85,1.0,2800,1200,2700,425,3400,12250,1920
120803,122093,Glare III,350,1.0,2800,1200,2700,425,3400,12600,1920
123733,124265,Auto,90,1.0,2800,1200,2790,425,3400,12600,1920
114983,124500,Dia (dot),85,1.0,2800,1200,2790,425,3485,12600,1920
123233,124523,Glare III,350,1.0,2800,1200,2790,425,3485,12950,1920
125663,126953,Glare III,350,1.0,2800,1200,2790,425,3485,13300,1920
114983,127500,Dia (dot),85,1.0,2800,1200,2790,425,3570,13300,1920
128293,128825,Auto,90,1.0,2800,1200,2880,425,3570,13300,1920
127793,129083,Glare III,350,1.0,2800,1200,2880,425,3570,13650,1920
129073,129653,Afflatus Misery,1400,1.0,4200,1200,2880,425,3570,13650,1920
129814,130484,Assize,400,1.0,4200,1600,2880,425,3570,13650,1920
114983,130500,Dia (dot),85,1.0,4200,1600,2880,425,3655,13650,1920
132173,132705,Auto,90,1.0,4200,1600,2970,425,3655,13650,1920
131673,132963,Glare III,350,1.0,4200,1600,2970,425,3655,14000,1920
114983,133500,Dia (dot),85,1.0,4200,1600,2970,425,3740,14000,1920
133613,134903,Glare III,350,1.0,4200,1600,2970,425,3740,14350,1920
134923,135455,Auto,90,1.0,4200,1600,3060,425,3740,14350,1920
134893,135743,Glare IV,640,1.0,4200,1600,3060,425,3740,14350,2560
114983,136500,Dia (dot),85,1.0,4200,1600,3060,425,3825,14350,2560
136833,137683,Glare IV,640,1.0,4200,1600,3060,425,3825,14350,3200
137673,138205,Auto,90,1.0,4200,1600,3150,425,3825,14350,3200
114983,139500,Dia (dot),85,1.0,4200,1600,3150,425,3910,14350,3200
138773,139623,Glare IV,640,1.0,4200,1600,3150,425,3910,14350,3840
140423,140955,Auto,90,1.0,4200,1600,3240,425,3910,14350,3840
114983,142500,Dia (dot),85,1.0,4200,1600,3240,425,3995,14350,3840
141373,142663,Glare III,350,1.0,4200,1600,3240,425,3995,14700,3840
144114,144646,Auto,90,1.0,4200,1600,3330,425,3995,14700,3840
143614,144904,Glare III,350,1.0,4200,1600,3330,425,3995,15050,3840
114983,145500,Dia (dot),85,1.0,4200,1600,3330,425,4080,15050,3840
145084,146374,Dia,85,1.0,4200,1600,3330,510,4080,15050,3840
145084,148500,Dia (dot),85,1.0,4200,1600,3330,510,4165,15050,3840
148974,149506,Auto,90,1.0,4200,1600,3420,510,4165,15050,3840
148474,149764,Glare III,350,1.0,4200,1600,3420,510,4165,15400,3840
145084,151500,Dia (dot),85,1.0,4200,1600,3420,510,4250,15400,3840
152414,152946,Auto,90,1.0,4200,1600,3510,510,4250,15400,3840
145084,154500,Dia (dot),85,1.0,4200,1600,3510,510,4335,15400,3840
155854,156386,Auto,90,1.0,4200,1600,3600,510,4335,15400,3840
145084,157500,Dia (dot),85,1.0,4200,1600,3600,510,4420,15400,3840
157234,157814,Afflatus Misery,1400,1.0,5600,1600,3600,510,4420,15400,3840
159294,159826,Auto,90,1.0,5600,1600,3690,510,4420,15400,3840
145084,160500,Dia (dot),85,1.0,5600,1600,3690,510,4505,15400,3840
160624,161914,Glare III,350,1.0,5600,1600,3690,510,4505,15750,3840
145084,163500,Dia (dot),85,1.0,5600,1600,3690,510,4590,15750,3840
163554,164086,Auto,90,1.0,5600,1600,3780,510,4590,15750,3840
163054,164344,Glare III,350,1.0,5600,1600,3780,510,4590,16100,3840
145084,166500,Dia (dot),85,1.0,5600,1600,3780,510,4675,16100,3840
165484,166774,Glare III,350,1.0,5600,1600,3780,510,4675,16450,3840
