sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
110172,110704,Heavy Swing,21341.0,302908,729175,213218,467570,271877,56860,235933,262163,133001,175874,226013,154502
110917,111449,Auto,8941.0,311849,729175,213218,467570,271877,56860,235933,262163,133001,175874,226013,154502
112672,113295,Maim,30239.0,311849,729175,213218,467570,302116,56860,235933,262163,133001,175874,226013,154502
114277,114809,Auto,8941.0,320790,729175,213218,467570,302116,56860,235933,262163,133001,175874,226013,154502
115172,115795,Fell Cleave,51589.0,320790,780764,213218,467570,302116,56860,235933,262163,133001,175874,226013,154502
117637,118169,Auto,8941.0,329731,780764,213218,467570,302116,56860,235933,262163,133001,175874,226013,154502
117672,119187,Storm's Path,44474.0,329731,780764,213218,467570,302116,56860,235933,262163,133001,175874,270487,154502
120172,120704,Heavy Swing,21341.0,329731,780764,234559,467570,302116,56860,235933,262163,133001,175874,270487,154502
120997,121529,Auto,8941.0,338672,780764,234559,467570,302116,56860,235933,262163,133001,175874,270487,154502
122672,123295,Maim,30239.0,338672,780764,234559,467570,332355,56860,235933,262163,133001,175874,270487,154502
124357,124889,Auto,8941.0,347613,780764,234559,467570,332355,56860,235933,262163,133001,175874,270487,154502
125173,125796,Fell Cleave,54168.0,347613,834932,234559,467570,332355,56860,235933,262163,133001,175874,270487,154502
127717,128249,Auto,9387.0,357000,834932,234559,467570,332355,56860,235933,262163,133001,175874,270487,154502
127673,128610,Inner Chaos,112761.0,357000,834932,234559,580331,332355,56860,235933,262163,133001,175874,270487,154502
128298,128921,Upheaval,39223.0,357000,834932,234559,580331,332355,56860,235933,262163,133001,175874,270487,193725
128923,129590,Onslaught,14005.0,357000,834932,234559,580331,332355,70865,235933,262163,133001,175874,270487,193725
130173,131333,Primal Rend,115974.0,357000,834932,234559,580331,332355,70865,351907,262163,133001,175874,270487,193725
131077,131609,Auto,9387.0,366387,834932,234559,580331,332355,70865,351907,262163,133001,175874,270487,193725
131373,132040,Onslaught,14005.0,366387,834932,234559,580331,332355,84870,351907,262163,133001,175874,270487,193725
132673,133296,Fell Cleave,93429.0,366387,928361,234559,580331,332355,84870,351907,262163,133001,175874,270487,193725
133298,133965,Onslaught,14005.0,366387,928361,234559,580331,332355,98875,351907,262163,133001,175874,270487,193725
134437,134969,Auto,9387.0,375774,928361,234559,580331,332355,98875,351907,262163,133001,175874,270487,193725
135173,135796,Fell Cleave,93429.0,375774,1021790,234559,580331,332355,98875,351907,262163,133001,175874,270487,193725
137673,138296,Fell Cleave,93429.0,375774,1115219,234559,580331,332355,98875,351907,262163,133001,175874,270487,193725
137797,138329,Auto,9387.0,385161,1115219,234559,580331,332355,98875,351907,262163,133001,175874,270487,193725
138298,139448,Primal Wrath,65377.0,385161,1115219,234559,580331,332355,98875,351907,262163,198378,175874,270487,193725
140173,141233,Primal Ruination,128873.0,385161,1115219,234559,580331,332355,98875,351907,391036,198378,175874,270487,193725
141157,141689,Auto,9387.0,394548,1115219,234559,580331,332355,98875,351907,391036,198378,175874,270487,193725
142673,144322,Storm's Eye,46698.0,394548,1115219,234559,580331,332355,98875,351907,391036,198378,222572,270487,193725
144517,145049,Auto,9387.0,403935,1115219,234559,580331,332355,98875,351907,391036,198378,222572,270487,193725
145173,145705,Heavy Swing,21341.0,403935,1115219,255900,580331,332355,98875,351907,391036,198378,222572,270487,193725
147877,148409,Auto,8941.0,412876,1115219,255900,580331,332355,98875,351907,391036,198378,222572,270487,193725
147673,148610,Inner Chaos,107391.0,412876,1115219,255900,687722,332355,98875,351907,391036,198378,222572,270487,193725
150173,150796,Maim,30239.0,412876,1115219,255900,687722,362594,98875,351907,391036,198378,222572,270487,193725
151237,151769,Auto,8941.0,421817,1115219,255900,687722,362594,98875,351907,391036,198378,222572,270487,193725
152673,154188,Storm's Path,44474.0,421817,1115219,255900,687722,362594,98875,351907,391036,198378,222572,314961,193725
154597,155129,Auto,8941.0,430758,1115219,255900,687722,362594,98875,351907,391036,198378,222572,314961,193725
155173,155796,Fell Cleave,51589.0,430758,1166808,255900,687722,362594,98875,351907,391036,198378,222572,314961,193725
157673,158205,Heavy Swing,21341.0,430758,1166808,277241,687722,362594,98875,351907,391036,198378,222572,314961,193725
157957,158489,Auto,8941.0,439699,1166808,277241,687722,362594,98875,351907,391036,198378,222572,314961,193725
158298,158921,Upheaval,37355.0,439699,1166808,277241,687722,362594,98875,351907,391036,198378,222572,314961,231080
160173,160796,Maim,30239.0,439699,1166808,277241,687722,392833,98875,351907,391036,198378,222572,314961,231080
161317,161849,Auto,8941.0,448640,1166808,277241,687722,392833,98875,351907,391036,198378,222572,314961,231080
162673,164322,Storm's Eye,44474.0,448640,1166808,277241,687722,392833,98875,351907,391036,198378,267046,314961,231080
164677,165209,Auto,8941.0,457581,1166808,277241,687722,392833,98875,351907,391036,198378,267046,314961,231080
165173,165705,Heavy Swing,21341.0,457581,1166808,298582,687722,392833,98875,351907,391036,198378,267046,314961,231080
167673,168296,Maim,30239.0,457581,1166808,298582,687722,423072,98875,351907,391036,198378,267046,314961,231080
168037,168569,Auto,8941.0,466522,1166808,298582,687722,423072,98875,351907,391036,198378,267046,314961,231080
170173,171688,Storm's Path,44474.0,466522,1166808,298582,687722,423072,98875,351907,391036,198378,267046,359435,231080
171397,171929,Auto,8941.0,475463,1166808,298582,687722,423072,98875,351907,391036,198378,267046,359435,231080
172673,173296,Fell Cleave,51589.0,475463,1218397,298582,687722,423072,98875,351907,391036,198378,267046,359435,231080
174757,175289,Auto,8941.0,484404,1218397,298582,687722,423072,98875,351907,391036,198378,267046,359435,231080
175174,175706,Heavy Swing,21341.0,484404,1218397,319923,687722,423072,98875,351907,391036,198378,267046,359435,231080
177674,178297,Maim,30239.0,484404,1218397,319923,687722,453311,98875,351907,391036,198378,267046,359435,231080
178117,178649,Auto,8941.0,493345,1218397,319923,687722,453311,98875,351907,391036,198378,267046,359435,231080
180174,181689,Storm's Path,44474.0,493345,1218397,319923,687722,453311,98875,351907,391036,198378,267046,403909,231080
181477,182009,Auto,8941.0,502286,1218397,319923,687722,453311,98875,351907,391036,198378,267046,403909,231080
182674,183206,Heavy Swing,21341.0,502286,1218397,341264,687722,453311,98875,351907,391036,198378,267046,403909,231080
184837,185369,Auto,8941.0,511227,1218397,341264,687722,453311,98875,351907,391036,198378,267046,403909,231080
185174,185797,Maim,30239.0,511227,1218397,341264,687722,483550,98875,351907,391036,198378,267046,403909,231080
187674,188297,Fell Cleave,88980.0,511227,1307377,341264,687722,483550,98875,351907,391036,198378,267046,403909,231080
188197,188729,Auto,8941.0,520168,1307377,341264,687722,483550,98875,351907,391036,198378,267046,403909,231080
188299,188922,Upheaval,37355.0,520168,1307377,341264,687722,483550,98875,351907,391036,198378,267046,403909,268435
188924,189591,Onslaught,13339.0,520168,1307377,341264,687722,483550,112214,351907,391036,198378,267046,403909,268435
190174,190797,Fell Cleave,88980.0,520168,1396357,341264,687722,483550,112214,351907,391036,198378,267046,403909,268435
191557,192089,Auto,8941.0,529109,1396357,341264,687722,483550,112214,351907,391036,198378,267046,403909,268435
192674,193297,Fell Cleave,88980.0,529109,1485337,341264,687722,483550,112214,351907,391036,198378,267046,403909,268435
193299,194449,Primal Wrath,62264.0,529109,1485337,341264,687722,483550,112214,351907,391036,260642,267046,403909,268435
194917,195449,Auto,8941.0,538050,1485337,341264,687722,483550,112214,351907,391036,260642,267046,403909,268435
195174,196334,Primal Rend,110452.0,538050,1485337,341264,687722,483550,112214,462359,391036,260642,267046,403909,268435
197674,198734,Primal Ruination,122736.0,538050,1485337,341264,687722,483550,112214,462359,513772,260642,267046,403909,268435
198277,198809,Auto,8941.0,546991,1485337,341264,687722,483550,112214,462359,513772,260642,267046,403909,268435
200174,201111,Inner Chaos,107391.0,546991,1485337,341264,795113,483550,112214,462359,513772,260642,267046,403909,268435
201637,202169,Auto,8941.0,555932,1485337,341264,795113,483550,112214,462359,513772,260642,267046,403909,268435
202674,203297,Fell Cleave,51589.0,555932,1536926,341264,795113,483550,112214,462359,513772,260642,267046,403909,268435
204997,205529,Auto,8941.0,564873,1536926,341264,795113,483550,112214,462359,513772,260642,267046,403909,268435
205174,206823,Storm's Eye,44474.0,564873,1536926,341264,795113,483550,112214,462359,513772,260642,311520,403909,268435
207674,208206,Heavy Swing,21341.0,564873,1536926,362605,795113,483550,112214,462359,513772,260642,311520,403909,268435
208357,208889,Auto,8941.0,573814,1536926,362605,795113,483550,112214,462359,513772,260642,311520,403909,268435
210174,210797,Maim,30239.0,573814,1536926,362605,795113,513789,112214,462359,513772,260642,311520,403909,268435
211717,212249,Auto,8941.0,582755,1536926,362605,795113,513789,112214,462359,513772,260642,311520,403909,268435
212674,214189,Storm's Path,44474.0,582755,1536926,362605,795113,513789,112214,462359,513772,260642,311520,448383,268435
215077,215609,Auto,8941.0,591696,1536926,362605,795113,513789,112214,462359,513772,260642,311520,448383,268435
215174,215706,Heavy Swing,21341.0,591696,1536926,383946,795113,513789,112214,462359,513772,260642,311520,448383,268435
217674,218297,Maim,30239.0,591696,1536926,383946,795113,544028,112214,462359,513772,260642,311520,448383,268435
218299,218922,Upheaval,37355.0,591696,1536926,383946,795113,544028,112214,462359,513772,260642,311520,448383,305790
218437,218969,Auto,8941.0,600637,1536926,383946,795113,544028,112214,462359,513772,260642,311520,448383,305790
220174,221689,Storm's Path,44474.0,600637,1536926,383946,795113,544028,112214,462359,513772,260642,311520,492857,305790
221797,222329,Auto,8941.0,609578,1536926,383946,795113,544028,112214,462359,513772,260642,311520,492857,305790
222674,223206,Heavy Swing,21341.0,609578,1536926,405287,795113,544028,112214,462359,513772,260642,311520,492857,305790
225157,225689,Auto,8941.0,618519,1536926,405287,795113,544028,112214,462359,513772,260642,311520,492857,305790
225175,225798,Maim,30239.0,618519,1536926,405287,795113,574267,112214,462359,513772,260642,311520,492857,305790
228517,229049,Auto,8941.0,627460,1536926,405287,795113,574267,112214,462359,513772,260642,311520,492857,305790
227675,229324,Storm's Eye,44474.0,627460,1536926,405287,795113,574267,112214,462359,513772,260642,355994,492857,305790
230175,230707,Heavy Swing,21341.0,627460,1536926,426628,795113,574267,112214,462359,513772,260642,355994,492857,305790
