sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
471293,471825,Auto,6723.0,430385,1296695,1235602,135088,270060,855632,577156,900925,486621,685725,247286,342843,675220,894471,810567,720730,779331,1040866,305975,539885,872365
472500,473214,Burst Strike,33727.0,430385,1296695,1235602,135088,270060,855632,610883,900925,486621,685725,247286,342843,675220,894471,810567,720730,779331,1040866,305975,539885,872365
473125,473883,Hypervelocity,14451.0,430385,1296695,1235602,135088,270060,855632,610883,900925,486621,685725,261737,342843,675220,894471,810567,720730,779331,1040866,305975,539885,872365
474093,474625,Auto,6723.0,430385,1303418,1235602,135088,270060,855632,610883,900925,486621,685725,261737,342843,675220,894471,810567,720730,779331,1040866,305975,539885,872365
475000,475893,Keen Edge,24088.0,430385,1303418,1235602,135088,270060,855632,610883,900925,486621,685725,261737,342843,699308,894471,810567,720730,779331,1040866,305975,539885,872365
476893,477425,Auto,6723.0,430385,1310141,1235602,135088,270060,855632,610883,900925,486621,685725,261737,342843,699308,894471,810567,720730,779331,1040866,305975,539885,872365
477500,478574,Brutal Shell,30513.0,430385,1310141,1235602,135088,270060,886145,610883,900925,486621,685725,261737,342843,699308,894471,810567,720730,779331,1040866,305975,539885,872365
479693,480225,Auto,6723.0,430385,1316864,1235602,135088,270060,886145,610883,900925,486621,685725,261737,342843,699308,894471,810567,720730,779331,1040866,305975,539885,872365
480000,481653,Solid Barrel,36938.0,430385,1316864,1235602,135088,270060,886145,610883,900925,486621,685725,261737,342843,699308,894471,810567,720730,779331,1077804,305975,539885,872365
482493,483025,Auto,6746.0,430385,1323610,1235602,135088,270060,886145,610883,900925,486621,685725,261737,342843,699308,894471,810567,720730,779331,1077804,305975,539885,872365
482500,483123,Gnashing Fang,35452.0,430385,1323610,1235602,135088,270060,886145,610883,900925,486621,721177,261737,342843,699308,894471,810567,720730,779331,1077804,305975,539885,872365
483750,484552,Jugular Rip,17725.0,430385,1323610,1235602,135088,270060,886145,610883,900925,486621,721177,261737,360568,699308,894471,810567,720730,779331,1077804,305975,539885,872365
485000,485625,Savage Claw,40293.0,430385,1323610,1235602,135088,270060,886145,610883,900925,486621,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,872365
485293,485825,Auto,6746.0,430385,1330356,1235602,135088,270060,886145,610883,900925,486621,721177,261737,360568,699308,894471,810567,720730,819624,1077804,305975,539885,872365
