sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Combust III (dot),Fall Malefic,Lord of Crowns,Oracle,Stellar Explosion (pet)
114501,115033,Auto,0.0,0,360548,1545678,56645,121736,78820
114532,115500,Combust III (dot),9233.0,0,369781,1545678,56645,121736,78820
114532,118500,Combust III (dot),9233.0,0,379014,1545678,56645,121736,78820
118232,118764,Auto,0.0,0,379014,1545678,56645,121736,78820
117732,118802,Fall Malefic,33295.0,0,379014,1578973,56645,121736,78820
119152,120222,Fall Malefic,33295.0,0,379014,1612268,56645,121736,78820
114532,121500,Combust III (dot),9233.0,0,388247,1612268,56645,121736,78820
121432,121964,Auto,0.0,0,388247,1612268,56645,121736,78820
121462,122532,Fall Malefic,33295.0,0,388247,1645563,56645,121736,78820
114532,124500,Combust III (dot),9233.0,0,397480,1645563,56645,121736,78820
123772,124842,Fall Malefic,33295.0,0,397480,1678858,56645,121736,78820
124632,125164,Auto,0.0,0,397480,1678858,56645,121736,78820
126082,127152,Fall Malefic,35292.0,0,397480,1714150,56645,121736,78820
114532,127500,Combust III (dot),9233.0,0,406713,1714150,56645,121736,78820
127322,127942,Lord of Crowns,52344.0,0,406713,1714150,108989,121736,78820
127832,128364,Auto,0.0,0,406713,1714150,108989,121736,78820
129091,129091,Stellar Explosion (pet),38824.0,0,406713,1714150,108989,121736,117644
128392,129462,Fall Malefic,35292.0,0,406713,1749442,108989,121736,117644
114532,130500,Combust III (dot),9233.0,0,415946,1749442,108989,121736,117644
131032,131564,Auto,0.0,0,415946,1749442,108989,121736,117644
130702,131772,Fall Malefic,35292.0,0,415946,1784734,108989,121736,117644
131322,133062,Oracle,112491.0,0,415946,1784734,108989,234227,117644
114532,133500,Combust III (dot),9233.0,0,425179,1784734,108989,234227,117644
133012,134082,Fall Malefic,35292.0,0,425179,1820026,108989,234227,117644
134232,134764,Auto,0.0,0,425179,1820026,108989,234227,117644
114532,136500,Combust III (dot),9233.0,0,434412,1820026,108989,234227,117644
136212,137282,Fall Malefic,35292.0,0,434412,1855318,108989,234227,117644
137432,137964,Auto,0.0,0,434412,1855318,108989,234227,117644
114532,139500,Combust III (dot),9233.0,0,443645,1855318,108989,234227,117644
138522,139592,Fall Malefic,35292.0,0,443645,1890610,108989,234227,117644
141332,141864,Auto,0.0,0,443645,1890610,108989,234227,117644
140832,141902,Fall Malefic,35292.0,0,443645,1925902,108989,234227,117644
114532,142500,Combust III (dot),9233.0,0,452878,1925902,108989,234227,117644
142252,143322,Fall Malefic,35292.0,0,452878,1961194,108989,234227,117644
144532,145064,Auto,0.0,0,452878,1961194,108989,234227,117644
144562,145500,Combust III (dot),9786.0,0,462664,1961194,108989,234227,117644
144562,148500,Combust III (dot),9786.0,0,472450,1961194,108989,234227,117644
148262,148794,Auto,0.0,0,472450,1961194,108989,234227,117644
147762,148832,Fall Malefic,33295.0,0,472450,1994489,108989,234227,117644
