sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Aero in Green,Auto,Blizzard in Cyan,Clawed Muse,Comet in Black,Fanged Muse,Fire in Red,Hammer Brush,Hammer Stamp,Holy in White,Mog of the Ages,Polishing Hammer,Pom Muse,Rainbow Drip,Retribution of the Madeen,Star Prism,Stone in Yellow,Thunder in Magenta,Water in Blue,Winged Muse
59151,61251,Polishing Hammer,600,1.0,1060,1710,1720,800,940,0,980,1160,1120,0,1000,1200,800,2000,0,1100,900,940,1140,800
64651,65183,Auto,90,1.0,1060,1800,1720,800,940,0,980,1160,1120,0,1000,1200,800,2000,0,1100,900,940,1140,800
65651,67521,Comet in Black,940,1.0,1060,1800,1720,800,1880,0,980,1160,1120,0,1000,1200,800,2000,0,1100,900,940,1140,800
67611,68143,Auto,90,1.0,1060,1890,1720,800,1880,0,980,1160,1120,0,1000,1200,800,2000,0,1100,900,940,1140,800
71952,72484,Auto,90,1.0,1060,1980,1720,800,1880,0,980,1160,1120,0,1000,1200,800,2000,0,1100,900,940,1140,800
75952,76484,Auto,90,1.0,1060,2070,1720,800,1880,0,980,1160,1120,0,1000,1200,800,2000,0,1100,900,940,1140,800
76052,77212,Fanged Muse,800,1.0,1060,2070,1720,800,1880,800,980,1160,1120,0,1000,1200,800,2000,0,1100,900,940,1140,800
79952,80484,Auto,90,1.0,1060,2160,1720,800,1880,800,980,1160,1120,0,1000,1200,800,2000,0,1100,900,940,1140,800
82752,83502,Blizzard in Cyan,860,1.0,1060,2160,2580,800,1880,800,980,1160,1120,0,1000,1200,800,2000,0,1100,900,940,1140,800
83252,83784,Auto,90,1.0,1060,2250,2580,800,1880,800,980,1160,1120,0,1000,1200,800,2000,0,1100,900,940,1140,800
86052,86852,Stone in Yellow,900,1.0,1060,2250,2580,800,1880,800,980,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,1140,800
86552,87084,Auto,90,1.0,1060,2340,2580,800,1880,800,980,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,1140,800
88552,89532,Water in Blue,570,1.0,1060,2340,2580,800,1880,800,980,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,1710,800
89512,90044,Auto,90,1.0,1060,2430,2580,800,1880,800,980,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,1710,800
91052,91892,Fire in Red,490,1.0,1060,2430,2580,800,1880,800,1470,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,1710,800
92472,93004,Auto,90,1.0,1060,2520,2580,800,1880,800,1470,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,1710,800
93552,94442,Aero in Green,530,1.0,1590,2520,2580,800,1880,800,1470,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,1710,800
96052,97032,Water in Blue,570,1.0,1590,2520,2580,800,1880,800,1470,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,2280,800
96552,97084,Auto,90,1.0,1590,2610,2580,800,1880,800,1470,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,2280,800
98552,99392,Fire in Red,490,1.0,1590,2610,2580,800,1880,800,1960,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,2280,800
99512,100044,Auto,90,1.0,1590,2700,2580,800,1880,800,1960,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,2280,800
101052,101942,Aero in Green,530,1.0,2120,2700,2580,800,1880,800,1960,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,2280,800
102472,103004,Auto,90,1.0,2120,2790,2580,800,1880,800,1960,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,2280,800
103552,104532,Water in Blue,570,1.0,2120,2790,2580,800,1880,800,1960,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,2850,800
106852,107602,Blizzard in Cyan,860,1.0,2120,2790,3440,800,1880,800,1960,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,2850,800
107352,107884,Auto,90,1.0,2120,2880,3440,800,1880,800,1960,1160,1120,0,1000,1200,800,2000,0,1100,1800,940,2850,800
110152,110952,Stone in Yellow,900,1.0,2120,2880,3440,800,1880,800,1960,1160,1120,0,1000,1200,800,2000,0,1100,2700,940,2850,800
110652,111184,Auto,90,1.0,2120,2970,3440,800,1880,800,1960,1160,1120,0,1000,1200,800,2000,0,1100,2700,940,2850,800
111652,113032,Hammer Stamp,560,1.0,2120,2970,3440,800,1880,800,1960,1160,1680,0,1000,1200,800,2000,0,1100,2700,940,2850,800
113612,114144,Auto,90,1.0,2120,3060,3440,800,1880,800,1960,1160,1680,0,1000,1200,800,2000,0,1100,2700,940,2850,800
114152,115402,Hammer Brush,580,1.0,2120,3060,3440,800,1880,800,1960,1740,1680,0,1000,1200,800,2000,0,1100,2700,940,2850,800
116572,117104,Auto,90,1.0,2120,3150,3440,800,1880,800,1960,1740,1680,0,1000,1200,800,2000,0,1100,2700,940,2850,800
116652,118752,Polishing Hammer,600,1.0,2120,3150,3440,800,1880,800,1960,1740,1680,0,1000,1800,800,2000,0,1100,2700,940,2850,800
122152,122684,Auto,90,1.0,2120,3240,3440,800,1880,800,1960,1740,1680,0,1000,1800,800,2000,0,1100,2700,940,2850,800
122253,122873,Pom Muse,800,1.0,2120,3240,3440,800,1880,800,1960,1740,1680,0,1000,1800,1600,2000,0,1100,2700,940,2850,800
126153,126685,Auto,90,1.0,2120,3330,3440,800,1880,800,1960,1740,1680,0,1000,1800,1600,2000,0,1100,2700,940,2850,800
128373,129223,Thunder in Magenta,940,1.0,2120,3330,3440,800,1880,800,1960,1740,1680,0,1000,1800,1600,2000,0,1100,2700,1880,2850,800
129113,129645,Auto,90,1.0,2120,3420,3440,800,1880,800,1960,1740,1680,0,1000,1800,1600,2000,0,1100,2700,1880,2850,800
129622,131492,Comet in Black,940,1.0,2120,3420,3440,800,2820,800,1960,1740,1680,0,1000,1800,1600,2000,0,1100,2700,1880,2850,800
131023,132323,Retribution of the Madeen,1100,1.0,2120,3420,3440,800,2820,800,1960,1740,1680,0,1000,1800,1600,2000,1100,1100,2700,1880,2850,800
132073,132605,Auto,90,1.0,2120,3510,3440,800,2820,800,1960,1740,1680,0,1000,1800,1600,2000,1100,1100,2700,1880,2850,800
133313,134063,Blizzard in Cyan,860,1.0,2120,3510,4300,800,2820,800,1960,1740,1680,0,1000,1800,1600,2000,1100,1100,2700,1880,2850,800
135033,135565,Auto,90,1.0,2120,3600,4300,800,2820,800,1960,1740,1680,0,1000,1800,1600,2000,1100,1100,2700,1880,2850,800
134563,135813,Star Prism,1100,1.0,2120,3600,4300,800,2820,800,1960,1740,1680,0,1000,1800,1600,2000,1100,2200,2700,1880,2850,800
135263,136243,Winged Muse,800,1.0,2120,3600,4300,800,2820,800,1960,1740,1680,0,1000,1800,1600,2000,1100,2200,2700,1880,2850,1600
136433,138303,Comet in Black,940,1.0,2120,3600,4300,800,3760,800,1960,1740,1680,0,1000,1800,1600,2000,1100,2200,2700,1880,2850,1600
137993,138525,Auto,90,1.0,2120,3690,4300,800,3760,800,1960,1740,1680,0,1000,1800,1600,2000,1100,2200,2700,1880,2850,1600
138903,140283,Hammer Stamp,560,1.0,2120,3690,4300,800,3760,800,1960,1740,2240,0,1000,1800,1600,2000,1100,2200,2700,1880,2850,1600
140953,141485,Auto,90,1.0,2120,3780,4300,800,3760,800,1960,1740,2240,0,1000,1800,1600,2000,1100,2200,2700,1880,2850,1600
141403,142653,Hammer Brush,580,1.0,2120,3780,4300,800,3760,800,1960,2320,2240,0,1000,1800,1600,2000,1100,2200,2700,1880,2850,1600
143913,144445,Auto,90,1.0,2120,3870,4300,800,3760,800,1960,2320,2240,0,1000,1800,1600,2000,1100,2200,2700,1880,2850,1600
143903,146003,Polishing Hammer,600,1.0,2120,3870,4300,800,3760,800,1960,2320,2240,0,1000,2400,1600,2000,1100,2200,2700,1880,2850,1600
146873,147405,Auto,90,1.0,2120,3960,4300,800,3760,800,1960,2320,2240,0,1000,2400,1600,2000,1100,2200,2700,1880,2850,1600
146403,147643,Rainbow Drip,1000,1.0,2120,3960,4300,800,3760,800,1960,2320,2240,0,1000,2400,1600,3000,1100,2200,2700,1880,2850,1600
151903,152435,Auto,90,1.0,2120,4050,4300,800,3760,800,1960,2320,2240,0,1000,2400,1600,3000,1100,2200,2700,1880,2850,1600
155903,156435,Auto,90,1.0,2120,4140,4300,800,3760,800,1960,2320,2240,0,1000,2400,1600,3000,1100,2200,2700,1880,2850,1600
159903,160435,Auto,90,1.0,2120,4230,4300,800,3760,800,1960,2320,2240,0,1000,2400,1600,3000,1100,2200,2700,1880,2850,1600
160903,162243,Holy in White,570,1.0,2120,4230,4300,800,3760,800,1960,2320,2240,570,1000,2400,1600,3000,1100,2200,2700,1880,2850,1600
161603,162583,Clawed Muse,800,1.0,2120,4230,4300,1600,3760,800,1960,2320,2240,570,1000,2400,1600,3000,1100,2200,2700,1880,2850,1600
162863,163395,Auto,90,1.0,2120,4320,4300,1600,3760,800,1960,2320,2240,570,1000,2400,1600,3000,1100,2200,2700,1880,2850,1600
162303,163453,Mog of the Ages,1000,1.0,2120,4320,4300,1600,3760,800,1960,2320,2240,570,2000,2400,1600,3000,1100,2200,2700,1880,2850,1600
166403,166935,Auto,90,1.0,2120,4410,4300,1600,3760,800,1960,2320,2240,570,2000,2400,1600,3000,1100,2200,2700,1880,2850,1600
169204,169954,Blizzard in Cyan,860,1.0,2120,4410,5160,1600,3760,800,1960,2320,2240,570,2000,2400,1600,3000,1100,2200,2700,1880,2850,1600
169704,170236,Auto,90,1.0,2120,4500,5160,1600,3760,800,1960,2320,2240,570,2000,2400,1600,3000,1100,2200,2700,1880,2850,1600
172504,173304,Stone in Yellow,900,1.0,2120,4500,5160,1600,3760,800,1960,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,2850,1600
173004,173536,Auto,90,1.0,2120,4590,5160,1600,3760,800,1960,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,2850,1600
175004,175984,Water in Blue,570,1.0,2120,4590,5160,1600,3760,800,1960,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3420,1600
175964,176496,Auto,90,1.0,2120,4680,5160,1600,3760,800,1960,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3420,1600
177504,178344,Fire in Red,490,1.0,2120,4680,5160,1600,3760,800,2450,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3420,1600
178924,179456,Auto,90,1.0,2120,4770,5160,1600,3760,800,2450,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3420,1600
180004,180894,Aero in Green,530,1.0,2650,4770,5160,1600,3760,800,2450,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3420,1600
182504,183484,Water in Blue,570,1.0,2650,4770,5160,1600,3760,800,2450,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3990,1600
183004,183536,Auto,90,1.0,2650,4860,5160,1600,3760,800,2450,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3990,1600
185004,185844,Fire in Red,490,1.0,2650,4860,5160,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3990,1600
185964,186496,Auto,90,1.0,2650,4950,5160,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3990,1600
187504,188394,Aero in Green,530,1.0,3180,4950,5160,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3990,1600
188924,189456,Auto,90,1.0,3180,5040,5160,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,3990,1600
190004,190984,Water in Blue,570,1.0,3180,5040,5160,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,4560,1600
193304,194054,Blizzard in Cyan,860,1.0,3180,5040,6020,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,4560,1600
193804,194336,Auto,90,1.0,3180,5130,6020,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,3600,1880,4560,1600
196604,197404,Stone in Yellow,900,1.0,3180,5130,6020,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,4500,1880,4560,1600
197104,197636,Auto,90,1.0,3180,5220,6020,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,4500,1880,4560,1600
199904,200754,Thunder in Magenta,940,1.0,3180,5220,6020,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,4500,2820,4560,1600
200404,200936,Auto,90,1.0,3180,5310,6020,1600,3760,800,2940,2320,2240,570,2000,2400,1600,3000,1100,2200,4500,2820,4560,1600
202404,203244,Fire in Red,490,1.0,3180,5310,6020,1600,3760,800,3430,2320,2240,570,2000,2400,1600,3000,1100,2200,4500,2820,4560,1600
203364,203896,Auto,90,1.0,3180,5400,6020,1600,3760,800,3430,2320,2240,570,2000,2400,1600,3000,1100,2200,4500,2820,4560,1600
204904,205794,Aero in Green,530,1.0,3710,5400,6020,1600,3760,800,3430,2320,2240,570,2000,2400,1600,3000,1100,2200,4500,2820,4560,1600
206324,206856,Auto,90,1.0,3710,5490,6020,1600,3760,800,3430,2320,2240,570,2000,2400,1600,3000,1100,2200,4500,2820,4560,1600
207404,208384,Water in Blue,570,1.0,3710,5490,6020,1600,3760,800,3430,2320,2240,570,2000,2400,1600,3000,1100,2200,4500,2820,5130,1600
209284,209816,Auto,90,1.0,3710,5580,6020,1600,3760,800,3430,2320,2240,570,2000,2400,1600,3000,1100,2200,4500,2820,5130,1600
208904,210284,Hammer Stamp,560,1.0,3710,5580,6020,1600,3760,800,3430,2320,2800,570,2000,2400,1600,3000,1100,2200,4500,2820,5130,1600
211404,212654,Hammer Brush,580,1.0,3710,5580,6020,1600,3760,800,3430,2900,2800,570,2000,2400,1600,3000,1100,2200,4500,2820,5130,1600
212244,212776,Auto,90,1.0,3710,5670,6020,1600,3760,800,3430,2900,2800,570,2000,2400,1600,3000,1100,2200,4500,2820,5130,1600
215204,215736,Auto,90,1.0,3710,5760,6020,1600,3760,800,3430,2900,2800,570,2000,2400,1600,3000,1100,2200,4500,2820,5130,1600
213904,216004,Polishing Hammer,600,1.0,3710,5760,6020,1600,3760,800,3430,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5130,1600
217404,218244,Fire in Red,490,1.0,3710,5760,6020,1600,3760,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5130,1600
218164,218696,Auto,90,1.0,3710,5850,6020,1600,3760,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5130,1600
219904,220794,Aero in Green,530,1.0,4240,5850,6020,1600,3760,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5130,1600
221124,221656,Auto,90,1.0,4240,5940,6020,1600,3760,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5130,1600
222404,223384,Water in Blue,570,1.0,4240,5940,6020,1600,3760,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5700,1600
224084,224616,Auto,90,1.0,4240,6030,6020,1600,3760,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5700,1600
223905,225775,Comet in Black,940,1.0,4240,6030,6020,1600,4700,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5700,1600
227044,227576,Auto,90,1.0,4240,6120,6020,1600,4700,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5700,1600
229005,229755,Blizzard in Cyan,860,1.0,4240,6120,6880,1600,4700,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5700,1600
230004,230536,Auto,90,1.0,4240,6210,6880,1600,4700,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,4500,2820,5700,1600
232305,233105,Stone in Yellow,900,1.0,4240,6210,6880,1600,4700,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,5400,2820,5700,1600
232964,233496,Auto,90,1.0,4240,6300,6880,1600,4700,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,5400,2820,5700,1600
236805,237337,Auto,90,1.0,4240,6390,6880,1600,4700,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,5400,2820,5700,1600
239605,240455,Thunder in Magenta,940,1.0,4240,6390,6880,1600,4700,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,5400,3760,5700,1600
240105,240637,Auto,90,1.0,4240,6480,6880,1600,4700,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,5400,3760,5700,1600
241105,242975,Comet in Black,940,1.0,4240,6480,6880,1600,5640,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,5400,3760,5700,1600
243065,243597,Auto,90,1.0,4240,6570,6880,1600,5640,800,3920,2900,2800,570,2000,3000,1600,3000,1100,2200,5400,3760,5700,1600
244405,245745,Holy in White,570,1.0,4240,6570,6880,1600,5640,800,3920,2900,2800,1140,2000,3000,1600,3000,1100,2200,5400,3760,5700,1600
246025,246557,Auto,90,1.0,4240,6660,6880,1600,5640,800,3920,2900,2800,1140,2000,3000,1600,3000,1100,2200,5400,3760,5700,1600
248173,248923,Blizzard in Cyan,860,1.0,4240,6660,7740,1600,5640,800,3920,2900,2800,1140,2000,3000,1600,3000,1100,2200,5400,3760,5700,1600
248985,249517,Auto,90,1.0,4240,6750,7740,1600,5640,800,3920,2900,2800,1140,2000,3000,1600,3000,1100,2200,5400,3760,5700,1600
250643,251443,Stone in Yellow,900,1.0,4240,6750,7740,1600,5640,800,3920,2900,2800,1140,2000,3000,1600,3000,1100,2200,6300,3760,5700,1600
253113,253963,Thunder in Magenta,940,1.0,4240,6750,7740,1600,5640,800,3920,2900,2800,1140,2000,3000,1600,3000,1100,2200,6300,4700,5700,1600
253613,254145,Auto,90,1.0,4240,6840,7740,1600,5640,800,3920,2900,2800,1140,2000,3000,1600,3000,1100,2200,6300,4700,5700,1600
255063,256223,Fanged Muse,800,1.0,4240,6840,7740,1600,5640,1600,3920,2900,2800,1140,2000,3000,1600,3000,1100,2200,6300,4700,5700,1600
254363,256233,Comet in Black,940,1.0,4240,6840,7740,1600,6580,1600,3920,2900,2800,1140,2000,3000,1600,3000,1100,2200,6300,4700,5700,1600
256573,257105,Auto,90,1.0,4240,6930,7740,1600,6580,1600,3920,2900,2800,1140,2000,3000,1600,3000,1100,2200,6300,4700,5700,1600
256833,258083,Star Prism,1100,1.0,4240,6930,7740,1600,6580,1600,3920,2900,2800,1140,2000,3000,1600,3000,1100,3300,6300,4700,5700,1600
259533,260065,Auto,90,1.0,4240,7020,7740,1600,6580,1600,3920,2900,2800,1140,2000,3000,1600,3000,1100,3300,6300,4700,5700,1600
258702,260082,Hammer Stamp,560,1.0,4240,7020,7740,1600,6580,1600,3920,2900,3360,1140,2000,3000,1600,3000,1100,3300,6300,4700,5700,1600
259403,260703,Retribution of the Madeen,1100,1.0,4240,7020,7740,1600,6580,1600,3920,2900,3360,1140,2000,3000,1600,3000,2200,3300,6300,4700,5700,1600
261202,262452,Hammer Brush,580,1.0,4240,7020,7740,1600,6580,1600,3920,3480,3360,1140,2000,3000,1600,3000,2200,3300,6300,4700,5700,1600
262493,263025,Auto,90,1.0,4240,7110,7740,1600,6580,1600,3920,3480,3360,1140,2000,3000,1600,3000,2200,3300,6300,4700,5700,1600
263703,265803,Polishing Hammer,600,1.0,4240,7110,7740,1600,6580,1600,3920,3480,3360,1140,2000,3600,1600,3000,2200,3300,6300,4700,5700,1600
265453,265985,Auto,90,1.0,4240,7200,7740,1600,6580,1600,3920,3480,3360,1140,2000,3600,1600,3000,2200,3300,6300,4700,5700,1600
266203,267443,Rainbow Drip,1000,1.0,4240,7200,7740,1600,6580,1600,3920,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,5700,1600
268413,268945,Auto,90,1.0,4240,7290,7740,1600,6580,1600,3920,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,5700,1600
269703,270543,Fire in Red,490,1.0,4240,7290,7740,1600,6580,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,5700,1600
272203,273093,Aero in Green,530,1.0,4770,7290,7740,1600,6580,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,5700,1600
272703,273235,Auto,90,1.0,4770,7380,7740,1600,6580,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,5700,1600
274703,275683,Water in Blue,570,1.0,4770,7380,7740,1600,6580,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,6270,1600
275663,276195,Auto,90,1.0,4770,7470,7740,1600,6580,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,6270,1600
278003,278753,Blizzard in Cyan,860,1.0,4770,7470,8600,1600,6580,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,6270,1600
278623,279155,Auto,90,1.0,4770,7560,8600,1600,6580,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,6270,1600
282503,283035,Auto,90,1.0,4770,7650,8600,1600,6580,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,6270,1600
283503,285373,Comet in Black,940,1.0,4770,7650,8600,1600,7520,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,6270,1600
285463,285995,Auto,90,1.0,4770,7740,8600,1600,7520,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,6270,1600
289803,290335,Auto,90,1.0,4770,7830,8600,1600,7520,1600,4410,3480,3360,1140,2000,3600,1600,4000,2200,3300,6300,4700,6270,1600
289904,290524,Pom Muse,800,1.0,4770,7830,8600,1600,7520,1600,4410,3480,3360,1140,2000,3600,2400,4000,2200,3300,6300,4700,6270,1600
