sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Air Anchor,Arm Punch (pet),Blazing Shot,Chain Saw,Checkmate,Crowned Collider (pet),Double Check,Drill,Excavator,Full Metal Field,Heated Clean Shot,Heated Slug Shot,Heated Split Shot,Pile Bunker (pet),Roller Dash (pet),Shot,Wildfire (dot)
94021,94821,Heated Slug Shot,39574.0,315475,140574,355060,169978,225349,152332,225349,521685,239282,233776,311676,280277,196117,132796,93731,273990,160296
94641,95351,Double Check,22256.0,315475,140574,355060,169978,225349,152332,247605,521685,239282,233776,311676,280277,196117,132796,93731,273990,160296
95190,95948,Shot,7251.0,315475,140574,355060,169978,225349,152332,247605,521685,239282,233776,311676,280277,196117,132796,93731,281241,160296
95261,95971,Checkmate,22256.0,315475,140574,355060,169978,247605,152332,247605,521685,239282,233776,311676,280277,196117,132796,93731,281241,160296
96522,97322,Heated Clean Shot,51946.0,315475,140574,355060,169978,247605,152332,247605,521685,239282,233776,363622,280277,196117,132796,93731,281241,160296
97830,98588,Shot,7251.0,315475,140574,355060,169978,247605,152332,247605,521685,239282,233776,363622,280277,196117,132796,93731,288492,160296
99022,99822,Heated Split Shot,27207.0,315475,140574,355060,169978,247605,152332,247605,521685,239282,233776,363622,280277,223324,132796,93731,288492,160296
100470,101228,Shot,7251.0,315475,140574,355060,169978,247605,152332,247605,521685,239282,233776,363622,280277,223324,132796,93731,295743,160296
101523,102673,Drill,81629.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,363622,280277,223324,132796,93731,295743,160296
103110,103868,Shot,7251.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,363622,280277,223324,132796,93731,302994,160296
104023,104823,Heated Slug Shot,39574.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,363622,319851,223324,132796,93731,302994,160296
105750,106508,Shot,7251.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,363622,319851,223324,132796,93731,310245,160296
106524,107324,Heated Clean Shot,51946.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,415568,319851,223324,132796,93731,310245,160296
108390,109148,Shot,7251.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,415568,319851,223324,132796,93731,317496,160296
109024,109824,Heated Split Shot,27207.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,415568,319851,250531,132796,93731,317496,160296
111030,111788,Shot,7251.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,415568,319851,250531,132796,93731,324747,160296
111525,112325,Heated Slug Shot,39574.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,415568,359425,250531,132796,93731,324747,160296
113670,114428,Shot,7251.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,415568,359425,250531,132796,93731,331998,160296
114025,114825,Heated Clean Shot,51946.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,467514,359425,250531,132796,93731,331998,160296
116310,117068,Shot,7251.0,315475,140574,355060,169978,247605,152332,247605,603314,239282,233776,467514,359425,250531,132796,93731,339249,160296
