sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Blizzard III,Blizzard IV,Despair,Fire III,Fire IV,Flare Star,High Thunder,Paradox,Thunder (dot),Xenoglossy
105382,106542,Fire IV,300,1.0,2790,870,900,1050,1160,7800,2000,600,3240,2100,890
107532,108692,Fire IV,300,1.0,2790,870,900,1050,1160,8100,2000,600,3240,2100,890
86462,109500,Thunder (dot),60,1.0,2790,870,900,1050,1160,8100,2000,600,3240,2160,890
110182,110714,Auto,90,1.0,2880,870,900,1050,1160,8100,2000,600,3240,2160,890
109682,110842,Fire IV,300,1.0,2880,870,900,1050,1160,8400,2000,600,3240,2160,890
86462,112500,Thunder (dot),60,1.0,2880,870,900,1050,1160,8400,2000,600,3240,2220,890
111832,112992,Fire IV,300,1.0,2880,870,900,1050,1160,8700,2000,600,3240,2220,890
114482,115014,Auto,90,1.0,2970,870,900,1050,1160,8700,2000,600,3240,2220,890
113982,115142,Fire IV,300,1.0,2970,870,900,1050,1160,9000,2000,600,3240,2220,890
86462,115500,Thunder (dot),60,1.0,2970,870,900,1050,1160,9000,2000,600,3240,2280,890
114912,115532,Xenoglossy,890,1.0,2970,870,900,1050,1160,9000,2000,600,3240,2280,1780
117062,117552,Despair,350,1.0,2970,870,900,1400,1160,9000,2000,600,3240,2280,1780
117762,118294,Auto,90,1.0,3060,870,900,1400,1160,9000,2000,600,3240,2280,1780
120432,121052,Flare Star,500,1.0,3060,870,900,1400,1160,9000,2500,600,3240,2280,1780
121042,121574,Auto,90,1.0,3150,870,900,1400,1160,9000,2500,600,3240,2280,1780
122582,123742,Fire IV,300,1.0,3150,870,900,1400,1160,9300,2500,600,3240,2280,1780
123512,124182,Paradox,540,1.0,3150,870,900,1400,1160,9300,2500,600,3780,2280,1780
124322,124854,Auto,90,1.0,3240,870,900,1400,1160,9300,2500,600,3780,2280,1780
126672,127832,Fire IV,300,1.0,3240,870,900,1400,1160,9600,2500,600,3780,2280,1780
128863,129623,High Thunder,150,1.0,3240,870,900,1400,1160,9600,2500,750,3780,2280,1780
