sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aeolian Edge,Aeolian Edge (pet),Armor Crush,Armor Crush (pet),Auto,Bhavacakra,Dokumori,Dream Within a Dream,Fleeting Raiju,Fleeting Raiju (pet),Fuma Shuriken,Gust Slash,Gust Slash (pet),Hyosho Ranryu,Kunai's Bane,Phantom Kamaitachi (pet),Raiton,Spinning Edge,Spinning Edge (pet),Suiton,Tenri Jindo,Zesho Meppo
57315,57847,Auto,7779.0,118674,0,169574,20170,243685,100374,44058,80541,313275,63586,74587,250944,0,252114,94931,75279,331167,185694,16383,204572,164100,126801
57632,58252,Bhavacakra,40707.0,118674,0,169574,20170,243685,141081,44058,80541,313275,63586,74587,250944,0,252114,94931,75279,331167,185694,16383,204572,164100,126801
59132,59672,Aeolian Edge,56992.0,175666,0,169574,20170,243685,141081,44058,80541,313275,63586,74587,250944,0,252114,94931,75279,331167,185694,16383,204572,164100,126801
59485,60017,Auto,7779.0,175666,0,169574,20170,251464,141081,44058,80541,313275,63586,74587,250944,0,252114,94931,75279,331167,185694,16383,204572,164100,126801
61252,61652,Spinning Edge,30530.0,175666,0,169574,20170,251464,141081,44058,80541,313275,63586,74587,250944,0,252114,94931,75279,331167,216224,16383,204572,164100,126801
61655,62187,Auto,7779.0,175666,0,169574,20170,259243,141081,44058,80541,313275,63586,74587,250944,0,252114,94931,75279,331167,216224,16383,204572,164100,126801
63372,63772,Gust Slash,40707.0,175666,0,169574,20170,259243,141081,44058,80541,313275,63586,74587,291651,0,252114,94931,75279,331167,216224,16383,204572,164100,126801
63825,64357,Auto,7779.0,175666,0,169574,20170,267022,141081,44058,80541,313275,63586,74587,291651,0,252114,94931,75279,331167,216224,16383,204572,164100,126801
65492,66112,Armor Crush,50884.0,175666,0,220458,20170,267022,141081,44058,80541,313275,63586,74587,291651,0,252114,94931,75279,331167,216224,16383,204572,164100,126801
65995,66527,Auto,7779.0,175666,0,220458,20170,274801,141081,44058,80541,313275,63586,74587,291651,0,252114,94931,75279,331167,216224,16383,204572,164100,126801
67613,68013,Spinning Edge,30530.0,175666,0,220458,20170,274801,141081,44058,80541,313275,63586,74587,291651,0,252114,94931,75279,331167,246754,16383,204572,164100,126801
68165,68697,Auto,7779.0,175666,0,220458,20170,282580,141081,44058,80541,313275,63586,74587,291651,0,252114,94931,75279,331167,246754,16383,204572,164100,126801
68381,69671,Kunai's Bane,71241.0,175666,0,220458,20170,282580,141081,44058,80541,313275,63586,74587,291651,0,252114,166172,75279,331167,246754,16383,204572,164100,126801
69733,70133,Gust Slash,44777.0,175666,0,220458,20170,282580,141081,44058,80541,313275,63586,74587,336428,0,252114,166172,75279,331167,246754,16383,204572,164100,126801
70335,70867,Auto,8556.0,175666,0,220458,20170,291136,141081,44058,80541,313275,63586,74587,336428,0,252114,166172,75279,331167,246754,16383,204572,164100,126801
70702,71402,Dream Within a Dream,20148.0,175666,0,220458,20170,291136,141081,44058,100689,313275,63586,74587,336428,0,252114,166172,75279,331167,246754,16383,204572,164100,126801
70702,71552,Dream Within a Dream,20148.0,175666,0,220458,20170,291136,141081,44058,120837,313275,63586,74587,336428,0,252114,166172,75279,331167,246754,16383,204572,164100,126801
70702,71702,Dream Within a Dream,20148.0,175666,0,220458,20170,291136,141081,44058,140985,313275,63586,74587,336428,0,252114,166172,75279,331167,246754,16383,204572,164100,126801
72505,73037,Auto,8556.0,175666,0,220458,20170,299692,141081,44058,140985,313275,63586,74587,336428,0,252114,166172,75279,331167,246754,16383,204572,164100,126801
72854,73474,Hyosho Ranryu,189199.0,175666,0,220458,20170,299692,141081,44058,140985,313275,63586,74587,336428,0,441313,166172,75279,331167,246754,16383,204572,164100,126801
73474,74094,Bhavacakra,44777.0,175666,0,220458,20170,299692,185858,44058,140985,313275,63586,74587,336428,0,441313,166172,75279,331167,246754,16383,204572,164100,126801
74675,75207,Auto,8556.0,175666,0,220458,20170,308248,185858,44058,140985,313275,63586,74587,336428,0,441313,166172,75279,331167,246754,16383,204572,164100,126801
75355,76065,Raiton,82842.0,175666,0,220458,20170,308248,185858,44058,140985,313275,63586,74587,336428,0,441313,166172,75279,414009,246754,16383,204572,164100,126801
76845,77377,Auto,8556.0,175666,0,220458,20170,316804,185858,44058,140985,313275,63586,74587,336428,0,441313,166172,75279,414009,246754,16383,204572,164100,126801
77857,78567,Raiton,82842.0,175666,0,220458,20170,316804,185858,44058,140985,313275,63586,74587,336428,0,441313,166172,75279,496851,246754,16383,204572,164100,126801
79015,79547,Auto,8556.0,175666,0,220458,20170,325360,185858,44058,140985,313275,63586,74587,336428,0,441313,166172,75279,496851,246754,16383,204572,164100,126801
79357,80117,Fleeting Raiju,78365.0,175666,0,220458,20170,325360,185858,44058,140985,391640,63586,74587,336428,0,441313,166172,75279,496851,246754,16383,204572,164100,126801
81185,81717,Auto,8556.0,175666,0,220458,20170,333916,185858,44058,140985,391640,63586,74587,336428,0,441313,166172,75279,496851,246754,16383,204572,164100,126801
81477,82237,Fleeting Raiju,78365.0,175666,0,220458,20170,333916,185858,44058,140985,470005,63586,74587,336428,0,441313,166172,75279,496851,246754,16383,204572,164100,126801
83355,83887,Auto,8556.0,175666,0,220458,20170,342472,185858,44058,140985,470005,63586,74587,336428,0,441313,166172,75279,496851,246754,16383,204572,164100,126801
83597,84137,Aeolian Edge,62691.0,238357,0,220458,20170,342472,185858,44058,140985,470005,63586,74587,336428,0,441313,166172,75279,496851,246754,16383,204572,164100,126801
85525,86057,Auto,7779.0,238357,0,220458,20170,350251,185858,44058,140985,470005,63586,74587,336428,0,441313,166172,75279,496851,246754,16383,204572,164100,126801
85718,86118,Spinning Edge,30530.0,238357,0,220458,20170,350251,185858,44058,140985,470005,63586,74587,336428,0,441313,166172,75279,496851,277284,16383,204572,164100,126801
87695,88227,Auto,7779.0,238357,0,220458,20170,358030,185858,44058,140985,470005,63586,74587,336428,0,441313,166172,75279,496851,277284,16383,204572,164100,126801
87838,88238,Gust Slash,40707.0,238357,0,220458,20170,358030,185858,44058,140985,470005,63586,74587,377135,0,441313,166172,75279,496851,277284,16383,204572,164100,126801
89865,90397,Auto,7779.0,238357,0,220458,20170,365809,185858,44058,140985,470005,63586,74587,377135,0,441313,166172,75279,496851,277284,16383,204572,164100,126801
89958,90498,Aeolian Edge,56992.0,295349,0,220458,20170,365809,185858,44058,140985,470005,63586,74587,377135,0,441313,166172,75279,496851,277284,16383,204572,164100,126801
92078,92478,Spinning Edge,30530.0,295349,0,220458,20170,365809,185858,44058,140985,470005,63586,74587,377135,0,441313,166172,75279,496851,307814,16383,204572,164100,126801
