sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
322676,323299,Maim,30239.0,889129,2382716,558015,1157140,785940,173288,706657,785240,398358,447276,675311,425767
325957,326489,Auto,8941.0,898070,2382716,558015,1157140,785940,173288,706657,785240,398358,447276,675311,425767
325177,326692,Storm's Path,44474.0,898070,2382716,558015,1157140,785940,173288,706657,785240,398358,447276,719785,425767
327677,328209,Heavy Swing,21341.0,898070,2382716,579356,1157140,785940,173288,706657,785240,398358,447276,719785,425767
329317,329849,Auto,8941.0,907011,2382716,579356,1157140,785940,173288,706657,785240,398358,447276,719785,425767
330177,330800,Maim,30239.0,907011,2382716,579356,1157140,816179,173288,706657,785240,398358,447276,719785,425767
332677,333209,Auto,8941.0,915952,2382716,579356,1157140,816179,173288,706657,785240,398358,447276,719785,425767
332677,334192,Storm's Path,44474.0,915952,2382716,579356,1157140,816179,173288,706657,785240,398358,447276,764259,425767
335177,335800,Fell Cleave,51589.0,915952,2434305,579356,1157140,816179,173288,706657,785240,398358,447276,764259,425767
336037,336569,Auto,8941.0,924893,2434305,579356,1157140,816179,173288,706657,785240,398358,447276,764259,425767
337677,338209,Heavy Swing,21341.0,924893,2434305,600697,1157140,816179,173288,706657,785240,398358,447276,764259,425767
338302,338925,Upheaval,37355.0,924893,2434305,600697,1157140,816179,173288,706657,785240,398358,447276,764259,463122
339397,339929,Auto,8941.0,933834,2434305,600697,1157140,816179,173288,706657,785240,398358,447276,764259,463122
340177,340800,Maim,30239.0,933834,2434305,600697,1157140,846418,173288,706657,785240,398358,447276,764259,463122
342757,343289,Auto,8941.0,942775,2434305,600697,1157140,846418,173288,706657,785240,398358,447276,764259,463122
342677,344326,Storm's Eye,44474.0,942775,2434305,600697,1157140,846418,173288,706657,785240,398358,491750,764259,463122
345177,345709,Heavy Swing,21341.0,942775,2434305,622038,1157140,846418,173288,706657,785240,398358,491750,764259,463122
346117,346649,Auto,8941.0,951716,2434305,622038,1157140,846418,173288,706657,785240,398358,491750,764259,463122
347677,348300,Maim,30239.0,951716,2434305,622038,1157140,876657,173288,706657,785240,398358,491750,764259,463122
349477,350009,Auto,8941.0,960657,2434305,622038,1157140,876657,173288,706657,785240,398358,491750,764259,463122
350177,351692,Storm's Path,44474.0,960657,2434305,622038,1157140,876657,173288,706657,785240,398358,491750,808733,463122
352677,353209,Heavy Swing,21341.0,960657,2434305,643379,1157140,876657,173288,706657,785240,398358,491750,808733,463122
352837,353369,Auto,8941.0,969598,2434305,643379,1157140,876657,173288,706657,785240,398358,491750,808733,463122
355177,355800,Maim,30239.0,969598,2434305,643379,1157140,906896,173288,706657,785240,398358,491750,808733,463122
356197,356729,Auto,8941.0,978539,2434305,643379,1157140,906896,173288,706657,785240,398358,491750,808733,463122
357677,359192,Storm's Path,44474.0,978539,2434305,643379,1157140,906896,173288,706657,785240,398358,491750,853207,463122
359557,360089,Auto,8941.0,987480,2434305,643379,1157140,906896,173288,706657,785240,398358,491750,853207,463122
360177,360709,Heavy Swing,21341.0,987480,2434305,664720,1157140,906896,173288,706657,785240,398358,491750,853207,463122
362677,363300,Maim,30239.0,987480,2434305,664720,1157140,937135,173288,706657,785240,398358,491750,853207,463122
362917,363449,Auto,8941.0,996421,2434305,664720,1157140,937135,173288,706657,785240,398358,491750,853207,463122
365177,365800,Fell Cleave,55814.0,996421,2490119,664720,1157140,937135,173288,706657,785240,398358,491750,853207,463122
366277,366809,Auto,10160.0,1006581,2490119,664720,1157140,937135,173288,706657,785240,398358,491750,853207,463122
367677,368614,Inner Chaos,128096.0,1006581,2490119,664720,1285236,937135,173288,706657,785240,398358,491750,853207,463122
368302,368925,Upheaval,44559.0,1006581,2490119,664720,1285236,937135,173288,706657,785240,398358,491750,853207,507681
368927,369594,Onslaught,15909.0,1006581,2490119,664720,1285236,937135,189197,706657,785240,398358,491750,853207,507681
369637,370169,Auto,10667.0,1017248,2490119,664720,1285236,937135,189197,706657,785240,398358,491750,853207,507681
370177,371337,Primal Rend,131755.0,1017248,2490119,664720,1285236,937135,189197,838412,785240,398358,491750,853207,507681
371377,372044,Onslaught,15909.0,1017248,2490119,664720,1285236,937135,205106,838412,785240,398358,491750,853207,507681
372677,373300,Fell Cleave,106136.0,1017248,2596255,664720,1285236,937135,205106,838412,785240,398358,491750,853207,507681
372997,373529,Auto,10667.0,1027915,2596255,664720,1285236,937135,205106,838412,785240,398358,491750,853207,507681
373302,373969,Onslaught,15909.0,1027915,2596255,664720,1285236,937135,221015,838412,785240,398358,491750,853207,507681
375178,375801,Fell Cleave,106136.0,1027915,2702391,664720,1285236,937135,221015,838412,785240,398358,491750,853207,507681
376357,376889,Auto,10667.0,1038582,2702391,664720,1285236,937135,221015,838412,785240,398358,491750,853207,507681
377678,378301,Fell Cleave,106136.0,1038582,2808527,664720,1285236,937135,221015,838412,785240,398358,491750,853207,507681
378303,379453,Primal Wrath,74274.0,1038582,2808527,664720,1285236,937135,221015,838412,785240,472632,491750,853207,507681
379717,380249,Auto,10667.0,1049249,2808527,664720,1285236,937135,221015,838412,785240,472632,491750,853207,507681
380178,381238,Primal Ruination,146398.0,1049249,2808527,664720,1285236,937135,221015,838412,931638,472632,491750,853207,507681
383077,383609,Auto,10667.0,1059916,2808527,664720,1285236,937135,221015,838412,931638,472632,491750,853207,507681
382678,383615,Inner Chaos,128096.0,1059916,2808527,664720,1413332,937135,221015,838412,931638,472632,491750,853207,507681
385178,385801,Fell Cleave,61535.0,1059916,2870062,664720,1413332,937135,221015,838412,931638,472632,491750,853207,507681
386437,386969,Auto,10667.0,1070583,2870062,664720,1413332,937135,221015,838412,931638,472632,491750,853207,507681
387678,389327,Storm's Eye,48117.0,1070583,2870062,664720,1413332,937135,221015,838412,931638,472632,539867,853207,507681
389797,390329,Auto,9676.0,1080259,2870062,664720,1413332,937135,221015,838412,931638,472632,539867,853207,507681
390178,390710,Heavy Swing,23089.0,1080259,2870062,687809,1413332,937135,221015,838412,931638,472632,539867,853207,507681
392678,393301,Maim,32714.0,1080259,2870062,687809,1413332,969849,221015,838412,931638,472632,539867,853207,507681
393157,393689,Auto,9676.0,1089935,2870062,687809,1413332,969849,221015,838412,931638,472632,539867,853207,507681
395178,396693,Storm's Path,44474.0,1089935,2870062,687809,1413332,969849,221015,838412,931638,472632,539867,897681,507681
396517,397049,Auto,8941.0,1098876,2870062,687809,1413332,969849,221015,838412,931638,472632,539867,897681,507681
397678,398210,Heavy Swing,21341.0,1098876,2870062,709150,1413332,969849,221015,838412,931638,472632,539867,897681,507681
398303,398926,Upheaval,37355.0,1098876,2870062,709150,1413332,969849,221015,838412,931638,472632,539867,897681,545036
399877,400409,Auto,8941.0,1107817,2870062,709150,1413332,969849,221015,838412,931638,472632,539867,897681,545036
400178,400801,Maim,30239.0,1107817,2870062,709150,1413332,1000088,221015,838412,931638,472632,539867,897681,545036
402678,403301,Fell Cleave,51589.0,1107817,2921651,709150,1413332,1000088,221015,838412,931638,472632,539867,897681,545036
403237,403769,Auto,8941.0,1116758,2921651,709150,1413332,1000088,221015,838412,931638,472632,539867,897681,545036
405178,406693,Storm's Path,44474.0,1116758,2921651,709150,1413332,1000088,221015,838412,931638,472632,539867,942155,545036
406597,407129,Auto,8941.0,1125699,2921651,709150,1413332,1000088,221015,838412,931638,472632,539867,942155,545036
407678,408210,Heavy Swing,21341.0,1125699,2921651,730491,1413332,1000088,221015,838412,931638,472632,539867,942155,545036
409957,410489,Auto,8941.0,1134640,2921651,730491,1413332,1000088,221015,838412,931638,472632,539867,942155,545036
410178,410801,Maim,30239.0,1134640,2921651,730491,1413332,1030327,221015,838412,931638,472632,539867,942155,545036
413317,413849,Auto,8941.0,1143581,2921651,730491,1413332,1030327,221015,838412,931638,472632,539867,942155,545036
412678,414327,Storm's Eye,44474.0,1143581,2921651,730491,1413332,1030327,221015,838412,931638,472632,584341,942155,545036
415178,415710,Heavy Swing,21341.0,1143581,2921651,751832,1413332,1030327,221015,838412,931638,472632,584341,942155,545036
416677,417209,Auto,8941.0,1152522,2921651,751832,1413332,1030327,221015,838412,931638,472632,584341,942155,545036
417678,418301,Maim,30239.0,1152522,2921651,751832,1413332,1060566,221015,838412,931638,472632,584341,942155,545036
420037,420569,Auto,8941.0,1161463,2921651,751832,1413332,1060566,221015,838412,931638,472632,584341,942155,545036
420178,420801,Fell Cleave,51589.0,1161463,2973240,751832,1413332,1060566,221015,838412,931638,472632,584341,942155,545036
423397,423929,Auto,8941.0,1170404,2973240,751832,1413332,1060566,221015,838412,931638,472632,584341,942155,545036
422678,424193,Storm's Path,44474.0,1170404,2973240,751832,1413332,1060566,221015,838412,931638,472632,584341,986629,545036
425179,425711,Heavy Swing,21341.0,1170404,2973240,773173,1413332,1060566,221015,838412,931638,472632,584341,986629,545036
426757,427289,Auto,8941.0,1179345,2973240,773173,1413332,1060566,221015,838412,931638,472632,584341,986629,545036
427679,428616,Inner Chaos,107391.0,1179345,2973240,773173,1520723,1060566,221015,838412,931638,472632,584341,986629,545036
428304,428927,Upheaval,37355.0,1179345,2973240,773173,1520723,1060566,221015,838412,931638,472632,584341,986629,582391
428929,429596,Onslaught,13339.0,1179345,2973240,773173,1520723,1060566,234354,838412,931638,472632,584341,986629,582391
430117,430649,Auto,8941.0,1188286,2973240,773173,1520723,1060566,234354,838412,931638,472632,584341,986629,582391
430179,431339,Primal Rend,110452.0,1188286,2973240,773173,1520723,1060566,234354,948864,931638,472632,584341,986629,582391
432679,433302,Fell Cleave,88980.0,1188286,3062220,773173,1520723,1060566,234354,948864,931638,472632,584341,986629,582391
433477,434009,Auto,8941.0,1197227,3062220,773173,1520723,1060566,234354,948864,931638,472632,584341,986629,582391
435179,435802,Fell Cleave,88980.0,1197227,3151200,773173,1520723,1060566,234354,948864,931638,472632,584341,986629,582391
436837,437369,Auto,8941.0,1206168,3151200,773173,1520723,1060566,234354,948864,931638,472632,584341,986629,582391
437679,438302,Fell Cleave,88980.0,1206168,3240180,773173,1520723,1060566,234354,948864,931638,472632,584341,986629,582391
438304,439454,Primal Wrath,62264.0,1206168,3240180,773173,1520723,1060566,234354,948864,931638,534896,584341,986629,582391
440197,440729,Auto,8941.0,1215109,3240180,773173,1520723,1060566,234354,948864,931638,534896,584341,986629,582391
440179,441239,Primal Ruination,122736.0,1215109,3240180,773173,1520723,1060566,234354,948864,1054374,534896,584341,986629,582391
442679,443302,Maim,30239.0,1215109,3240180,773173,1520723,1090805,234354,948864,1054374,534896,584341,986629,582391
