sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Fell Cleave,Heavy Swing,Inner Chaos,Maim,Onslaught,Primal Rend,Primal Ruination,Primal Wrath,Storm's Eye,Storm's Path,Upheaval
67237,67769,Auto,8941.0,197418,419745,128546,367499,181160,57768,129246,143610,72859,131400,92591,81065
67671,68294,Fell Cleave,88980.0,197418,508725,128546,367499,181160,57768,129246,143610,72859,131400,92591,81065
68296,68919,Upheaval,37355.0,197418,508725,128546,367499,181160,57768,129246,143610,72859,131400,92591,118420
70171,70794,Fell Cleave,88980.0,197418,597705,128546,367499,181160,57768,129246,143610,72859,131400,92591,118420
70597,71129,Auto,8941.0,206359,597705,128546,367499,181160,57768,129246,143610,72859,131400,92591,118420
72671,73294,Fell Cleave,88980.0,206359,686685,128546,367499,181160,57768,129246,143610,72859,131400,92591,118420
73296,74446,Primal Wrath,62264.0,206359,686685,128546,367499,181160,57768,129246,143610,135123,131400,92591,118420
73957,74489,Auto,8941.0,215300,686685,128546,367499,181160,57768,129246,143610,135123,131400,92591,118420
75172,76332,Primal Rend,110452.0,215300,686685,128546,367499,181160,57768,239698,143610,135123,131400,92591,118420
77317,77849,Auto,8941.0,224241,686685,128546,367499,181160,57768,239698,143610,135123,131400,92591,118420
77672,78732,Primal Ruination,122736.0,224241,686685,128546,367499,181160,57768,239698,266346,135123,131400,92591,118420
80172,81109,Inner Chaos,107391.0,224241,686685,128546,474890,181160,57768,239698,266346,135123,131400,92591,118420
80677,81209,Auto,8941.0,233182,686685,128546,474890,181160,57768,239698,266346,135123,131400,92591,118420
82672,84187,Storm's Path,44474.0,233182,686685,128546,474890,181160,57768,239698,266346,135123,131400,137065,118420
84037,84569,Auto,8941.0,242123,686685,128546,474890,181160,57768,239698,266346,135123,131400,137065,118420
85172,85795,Fell Cleave,51589.0,242123,738274,128546,474890,181160,57768,239698,266346,135123,131400,137065,118420
87397,87929,Auto,8941.0,251064,738274,128546,474890,181160,57768,239698,266346,135123,131400,137065,118420
87672,88204,Heavy Swing,21341.0,251064,738274,149887,474890,181160,57768,239698,266346,135123,131400,137065,118420
90172,90795,Maim,30239.0,251064,738274,149887,474890,211399,57768,239698,266346,135123,131400,137065,118420
90757,91289,Auto,8941.0,260005,738274,149887,474890,211399,57768,239698,266346,135123,131400,137065,118420
92672,94321,Storm's Eye,44474.0,260005,738274,149887,474890,211399,57768,239698,266346,135123,175874,137065,118420
94117,94649,Auto,8941.0,268946,738274,149887,474890,211399,57768,239698,266346,135123,175874,137065,118420
95172,95704,Heavy Swing,21341.0,268946,738274,171228,474890,211399,57768,239698,266346,135123,175874,137065,118420
