sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Aeolian Edge,Aeolian Edge (pet),Armor Crush,Armor Crush (pet),Auto,Bhavacakra,Dokumori,Dream Within a Dream,Fleeting Raiju,Fleeting Raiju (pet),Fuma Shuriken,Gust Slash,Gust Slash (pet),Hyosho Ranryu,Kunai's Bane,Phantom Kamaitachi (pet),Raiton,Spinning Edge,Spinning Edge (pet),Suiton,Tenri Jindo,Zesho Meppo
48635,49167,Auto,7779.0,118674,0,110447,17718,200406,93120,44058,70749,275187,55855,65519,210237,0,221463,83390,75279,290904,155164,16383,135026,144149,111385
49770,50390,Armor Crush,50884.0,118674,0,161331,17718,200406,93120,44058,70749,275187,55855,65519,210237,0,221463,83390,75279,290904,155164,16383,135026,144149,111385
50805,51337,Auto,7779.0,118674,0,161331,17718,208185,93120,44058,70749,275187,55855,65519,210237,0,221463,83390,75279,290904,155164,16383,135026,144149,111385
52975,53507,Auto,7779.0,118674,0,161331,17718,215964,93120,44058,70749,275187,55855,65519,210237,0,221463,83390,75279,290904,155164,16383,135026,144149,111385
53391,54371,Suiton,59027.0,118674,0,161331,17718,215964,93120,44058,70749,275187,55855,65519,210237,0,221463,83390,75279,290904,155164,16383,194053,144149,111385
54892,55292,Spinning Edge,30530.0,118674,0,161331,17718,215964,93120,44058,70749,275187,55855,65519,210237,0,221463,83390,75279,290904,185694,16383,194053,144149,111385
55145,55677,Auto,7779.0,118674,0,161331,17718,223743,93120,44058,70749,275187,55855,65519,210237,0,221463,83390,75279,290904,185694,16383,194053,144149,111385
57012,57412,Gust Slash,40707.0,118674,0,161331,17718,223743,93120,44058,70749,275187,55855,65519,250944,0,221463,83390,75279,290904,185694,16383,194053,144149,111385
57315,57847,Auto,7779.0,118674,0,161331,17718,231522,93120,44058,70749,275187,55855,65519,250944,0,221463,83390,75279,290904,185694,16383,194053,144149,111385
57632,58252,Bhavacakra,40707.0,118674,0,161331,17718,231522,133827,44058,70749,275187,55855,65519,250944,0,221463,83390,75279,290904,185694,16383,194053,144149,111385
59132,59672,Aeolian Edge,56992.0,175666,0,161331,17718,231522,133827,44058,70749,275187,55855,65519,250944,0,221463,83390,75279,290904,185694,16383,194053,144149,111385
59485,60017,Auto,7779.0,175666,0,161331,17718,239301,133827,44058,70749,275187,55855,65519,250944,0,221463,83390,75279,290904,185694,16383,194053,144149,111385
61252,61652,Spinning Edge,30530.0,175666,0,161331,17718,239301,133827,44058,70749,275187,55855,65519,250944,0,221463,83390,75279,290904,216224,16383,194053,144149,111385
