sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
499778,500310,Auto,6993.0,848343,1324642,714241,835058,826995,835058,220803,233366,939781,710110,405049,657833,1011224,545048,281862,611163,845257,1030853,940921
501000,501891,Blade of Valor,104723.0,848343,1324642,714241,835058,826995,939781,220803,233366,939781,710110,405049,657833,1011224,545048,281862,611163,845257,1030853,940921
489125,502500,Circle of Scorn (dot),3139.0,848343,1324642,714241,835058,826995,939781,220803,236505,939781,710110,405049,657833,1011224,545048,281862,611163,845257,1030853,940921
502018,502550,Auto,6993.0,848343,1331635,714241,835058,826995,939781,220803,236505,939781,710110,405049,657833,1011224,545048,281862,611163,845257,1030853,940921
501625,502785,Blade of Honor,104723.0,848343,1331635,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1011224,545048,281862,611163,845257,1030853,940921
503500,504078,Royal Authority,48169.0,848343,1331635,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1011224,545048,281862,611163,893426,1030853,940921
504258,504790,Auto,6993.0,848343,1338628,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1011224,545048,281862,611163,893426,1030853,940921
506000,506758,Holy Spirit,52360.0,848343,1338628,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1063584,545048,281862,611163,893426,1030853,940921
506498,507030,Auto,6993.0,848343,1345621,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1063584,545048,281862,611163,893426,1030853,940921
508738,509270,Auto,5328.0,848343,1350949,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1063584,545048,281862,611163,893426,1030853,940921
508500,509793,Atonement,36701.0,885044,1350949,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1063584,545048,281862,611163,893426,1030853,940921
510978,511510,Auto,5328.0,885044,1356277,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1063584,545048,281862,611163,893426,1030853,940921
511000,512160,Supplication,39894.0,885044,1356277,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1063584,545048,281862,611163,893426,1030853,980815
513218,513750,Auto,5328.0,885044,1361605,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1063584,545048,281862,611163,893426,1030853,980815
513500,514790,Sepulchre,43082.0,885044,1361605,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1063584,545048,281862,611163,893426,1073935,980815
515458,515990,Auto,5328.0,885044,1366933,714241,939781,826995,939781,220803,236505,939781,710110,405049,657833,1063584,545048,281862,611163,893426,1073935,980815
516000,516623,Fast Blade,17548.0,885044,1366933,714241,939781,826995,939781,220803,236505,939781,710110,422597,657833,1063584,545048,281862,611163,893426,1073935,980815
517698,518230,Auto,5328.0,885044,1372261,714241,939781,826995,939781,220803,236505,939781,710110,422597,657833,1063584,545048,281862,611163,893426,1073935,980815
518500,519258,Riot Blade,26327.0,885044,1372261,714241,939781,826995,939781,220803,236505,939781,710110,422597,657833,1063584,545048,281862,637490,893426,1073935,980815
519125,520148,Circle of Scorn,11164.0,885044,1372261,714241,939781,826995,939781,231967,236505,939781,710110,422597,657833,1063584,545048,281862,637490,893426,1073935,980815
519938,520470,Auto,5328.0,885044,1377589,714241,939781,826995,939781,231967,236505,939781,710110,422597,657833,1063584,545048,281862,637490,893426,1073935,980815
519125,520500,Circle of Scorn (dot),2392.0,885044,1377589,714241,939781,826995,939781,231967,238897,939781,710110,422597,657833,1063584,545048,281862,637490,893426,1073935,980815
521000,521578,Royal Authority,36701.0,885044,1377589,714241,939781,826995,939781,231967,238897,939781,710110,422597,657833,1063584,545048,281862,637490,930127,1073935,980815
521625,521982,Expiacion,35904.0,885044,1377589,714241,939781,826995,939781,231967,238897,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1073935,980815
522178,522710,Auto,5328.0,885044,1382917,714241,939781,826995,939781,231967,238897,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1073935,980815
519125,523500,Circle of Scorn (dot),2392.0,885044,1382917,714241,939781,826995,939781,231967,241289,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1073935,980815
523500,524793,Atonement,36701.0,921745,1382917,714241,939781,826995,939781,231967,241289,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1073935,980815
524418,524950,Auto,5328.0,921745,1388245,714241,939781,826995,939781,231967,241289,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1073935,980815
519125,526500,Circle of Scorn (dot),2392.0,921745,1388245,714241,939781,826995,939781,231967,243681,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1073935,980815
526000,527160,Supplication,39894.0,921745,1388245,714241,939781,826995,939781,231967,243681,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1073935,1020709
526658,527190,Auto,5328.0,921745,1393573,714241,939781,826995,939781,231967,243681,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1073935,1020709
528898,529430,Auto,5328.0,921745,1398901,714241,939781,826995,939781,231967,243681,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1073935,1020709
519125,529500,Circle of Scorn (dot),2392.0,921745,1398901,714241,939781,826995,939781,231967,246073,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1073935,1020709
528500,529790,Sepulchre,43082.0,921745,1398901,714241,939781,826995,939781,231967,246073,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1117017,1020709
531138,531670,Auto,5328.0,921745,1404229,714241,939781,826995,939781,231967,246073,939781,746014,422597,657833,1063584,545048,281862,637490,930127,1117017,1020709
531000,531758,Holy Spirit,39894.0,921745,1404229,714241,939781,826995,939781,231967,246073,939781,746014,422597,657833,1103478,545048,281862,637490,930127,1117017,1020709
519125,532500,Circle of Scorn (dot),2392.0,921745,1404229,714241,939781,826995,939781,231967,248465,939781,746014,422597,657833,1103478,545048,281862,637490,930127,1117017,1020709
533378,533910,Auto,5328.0,921745,1409557,714241,939781,826995,939781,231967,248465,939781,746014,422597,657833,1103478,545048,281862,637490,930127,1117017,1020709
533500,534123,Fast Blade,17548.0,921745,1409557,714241,939781,826995,939781,231967,248465,939781,746014,440145,657833,1103478,545048,281862,637490,930127,1117017,1020709
535618,536150,Auto,5328.0,921745,1414885,714241,939781,826995,939781,231967,248465,939781,746014,440145,657833,1103478,545048,281862,637490,930127,1117017,1020709
536000,536758,Riot Blade,26327.0,921745,1414885,714241,939781,826995,939781,231967,248465,939781,746014,440145,657833,1103478,545048,281862,663817,930127,1117017,1020709
537858,538390,Auto,5328.0,921745,1420213,714241,939781,826995,939781,231967,248465,939781,746014,440145,657833,1103478,545048,281862,663817,930127,1117017,1020709
538500,539078,Royal Authority,36701.0,921745,1420213,714241,939781,826995,939781,231967,248465,939781,746014,440145,657833,1103478,545048,281862,663817,966828,1117017,1020709
540098,540630,Auto,5328.0,921745,1425541,714241,939781,826995,939781,231967,248465,939781,746014,440145,657833,1103478,545048,281862,663817,966828,1117017,1020709
541000,542293,Atonement,36701.0,958446,1425541,714241,939781,826995,939781,231967,248465,939781,746014,440145,657833,1103478,545048,281862,663817,966828,1117017,1020709
542338,542870,Auto,5328.0,958446,1430869,714241,939781,826995,939781,231967,248465,939781,746014,440145,657833,1103478,545048,281862,663817,966828,1117017,1020709
543500,544123,Fast Blade,17548.0,958446,1430869,714241,939781,826995,939781,231967,248465,939781,746014,457693,657833,1103478,545048,281862,663817,966828,1117017,1020709
544578,545110,Auto,5328.0,958446,1436197,714241,939781,826995,939781,231967,248465,939781,746014,457693,657833,1103478,545048,281862,663817,966828,1117017,1020709
546000,546758,Riot Blade,26327.0,958446,1436197,714241,939781,826995,939781,231967,248465,939781,746014,457693,657833,1103478,545048,281862,690144,966828,1117017,1020709
546818,547350,Auto,5328.0,958446,1441525,714241,939781,826995,939781,231967,248465,939781,746014,457693,657833,1103478,545048,281862,690144,966828,1117017,1020709
547250,548540,Imperator,57844.0,958446,1441525,714241,939781,826995,939781,231967,248465,939781,746014,457693,657833,1103478,602892,281862,690144,966828,1117017,1020709
548500,549034,Goring Blade,69814.0,958446,1441525,714241,939781,826995,939781,231967,248465,939781,746014,457693,727647,1103478,602892,281862,690144,966828,1117017,1020709
549058,549590,Auto,6660.0,958446,1448185,714241,939781,826995,939781,231967,248465,939781,746014,457693,727647,1103478,602892,281862,690144,966828,1117017,1020709
549125,550148,Circle of Scorn,13955.0,958446,1448185,714241,939781,826995,939781,245922,248465,939781,746014,457693,727647,1103478,602892,281862,690144,966828,1117017,1020709
549125,550500,Circle of Scorn (dot),2990.0,958446,1448185,714241,939781,826995,939781,245922,251455,939781,746014,457693,727647,1103478,602892,281862,690144,966828,1117017,1020709
551298,551830,Auto,6660.0,958446,1454845,714241,939781,826995,939781,245922,251455,939781,746014,457693,727647,1103478,602892,281862,690144,966828,1117017,1020709
551625,551982,Expiacion,44880.0,958446,1454845,714241,939781,826995,939781,245922,251455,939781,790894,457693,727647,1103478,602892,281862,690144,966828,1117017,1020709
551000,552160,Supplication,49867.0,958446,1454845,714241,939781,826995,939781,245922,251455,939781,790894,457693,727647,1103478,602892,281862,690144,966828,1117017,1070576
549125,553500,Circle of Scorn (dot),2990.0,958446,1454845,714241,939781,826995,939781,245922,254445,939781,790894,457693,727647,1103478,602892,281862,690144,966828,1117017,1070576
553538,554070,Auto,6660.0,958446,1461505,714241,939781,826995,939781,245922,254445,939781,790894,457693,727647,1103478,602892,281862,690144,966828,1117017,1070576
553500,554123,Confiteor,99736.0,958446,1461505,714241,939781,826995,939781,245922,254445,1039517,790894,457693,727647,1103478,602892,281862,690144,966828,1117017,1070576
554125,554703,Intervene,14957.0,958446,1461505,714241,939781,826995,939781,245922,254445,1039517,790894,457693,727647,1103478,602892,296819,690144,966828,1117017,1070576
555778,556310,Auto,6660.0,958446,1468165,714241,939781,826995,939781,245922,254445,1039517,790894,457693,727647,1103478,602892,296819,690144,966828,1117017,1070576
549125,556500,Circle of Scorn (dot),2990.0,958446,1468165,714241,939781,826995,939781,245922,257435,1039517,790894,457693,727647,1103478,602892,296819,690144,966828,1117017,1070576
556000,556666,Blade of Faith,75801.0,958446,1468165,790042,939781,826995,939781,245922,257435,1039517,790894,457693,727647,1103478,602892,296819,690144,966828,1117017,1070576
556625,557203,Intervene,14957.0,958446,1468165,790042,939781,826995,939781,245922,257435,1039517,790894,457693,727647,1103478,602892,311776,690144,966828,1117017,1070576
558018,558550,Auto,6660.0,958446,1474825,790042,939781,826995,939781,245922,257435,1039517,790894,457693,727647,1103478,602892,311776,690144,966828,1117017,1070576
558500,559391,Blade of Truth,87767.0,958446,1474825,790042,939781,914762,939781,245922,257435,1039517,790894,457693,727647,1103478,602892,311776,690144,966828,1117017,1070576
549125,559500,Circle of Scorn (dot),2990.0,958446,1474825,790042,939781,914762,939781,245922,260425,1039517,790894,457693,727647,1103478,602892,311776,690144,966828,1117017,1070576
560258,560790,Auto,6660.0,958446,1481485,790042,939781,914762,939781,245922,260425,1039517,790894,457693,727647,1103478,602892,311776,690144,966828,1117017,1070576
561000,561891,Blade of Valor,99736.0,958446,1481485,790042,939781,914762,1039517,245922,260425,1039517,790894,457693,727647,1103478,602892,311776,690144,966828,1117017,1070576
549125,562500,Circle of Scorn (dot),2990.0,958446,1481485,790042,939781,914762,1039517,245922,263415,1039517,790894,457693,727647,1103478,602892,311776,690144,966828,1117017,1070576
561625,562785,Blade of Honor,99736.0,958446,1481485,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1103478,602892,311776,690144,966828,1117017,1070576
562498,563030,Auto,6660.0,958446,1488145,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1103478,602892,311776,690144,966828,1117017,1070576
563500,564258,Holy Spirit,49867.0,958446,1488145,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,966828,1117017,1070576
564738,565270,Auto,6660.0,958446,1494805,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,966828,1117017,1070576
566000,567290,Sepulchre,53853.0,958446,1494805,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,966828,1170870,1070576
566978,567510,Auto,6660.0,958446,1501465,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,966828,1170870,1070576
568500,569078,Royal Authority,36701.0,958446,1501465,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,1003529,1170870,1070576
569218,569750,Auto,5328.0,958446,1506793,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,1003529,1170870,1070576
571458,571990,Auto,5328.0,958446,1512121,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,1003529,1170870,1070576
571000,572293,Atonement,36701.0,995147,1512121,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,1003529,1170870,1070576
573698,574230,Auto,5328.0,995147,1517449,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,1003529,1170870,1070576
573500,574660,Supplication,39894.0,995147,1517449,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,1003529,1170870,1110470
575938,576470,Auto,5328.0,995147,1522777,790042,1039517,914762,1039517,245922,263415,1039517,790894,457693,727647,1153345,602892,311776,690144,1003529,1170870,1110470
