sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
55000,67500,Chaotic Spring (dot),45,1.0,2160,1020,945,500,2300,680,560,920,800,1020,380,720,0,1600,550,900,700,840,230,1020,880
67500,68210,Heavens' Thrust,460,1.0,2160,1020,945,500,2300,680,560,1380,800,1020,380,720,0,1600,550,900,700,840,230,1020,880
67960,68492,Auto,90,1.0,2250,1020,945,500,2300,680,560,1380,800,1020,380,720,0,1600,550,900,700,840,230,1020,880
68120,68920,Mirage Dive,380,1.0,2250,1020,945,500,2300,680,560,1380,800,1020,760,720,0,1600,550,900,700,840,230,1020,880
68740,69500,Nastrond,720,1.0,2250,1020,945,500,2300,680,560,1380,800,1020,760,1440,0,1600,550,900,700,840,230,1020,880
55000,70500,Chaotic Spring (dot),45,1.0,2250,1020,990,500,2300,680,560,1380,800,1020,760,1440,0,1600,550,900,700,840,230,1020,880
70000,70620,Fang and Claw,340,1.0,2250,1020,990,500,2300,1020,560,1380,800,1020,760,1440,0,1600,550,900,700,840,230,1020,880
70760,71292,Auto,90,1.0,2340,1020,990,500,2300,1020,560,1380,800,1020,760,1440,0,1600,550,900,700,840,230,1020,880
70620,71910,Stardiver,840,1.0,2340,1020,990,500,2300,1020,560,1380,800,1020,760,1440,0,1600,550,900,700,1680,230,1020,880
72500,73120,Drakesbane,460,1.0,2340,1020,990,500,2760,1020,560,1380,800,1020,760,1440,0,1600,550,900,700,1680,230,1020,880
55000,73500,Chaotic Spring (dot),45,1.0,2340,1020,1035,500,2760,1020,560,1380,800,1020,760,1440,0,1600,550,900,700,1680,230,1020,880
73560,74092,Auto,90,1.0,2430,1020,1035,500,2760,1020,560,1380,800,1020,760,1440,0,1600,550,900,700,1680,230,1020,880
73120,74100,Starcross,700,1.0,2430,1020,1035,500,2760,1020,560,1380,800,1020,760,1440,0,1600,550,900,1400,1680,230,1020,880
75000,75620,Raiden Thrust,320,1.0,2430,1020,1035,500,2760,1020,560,1380,800,1020,760,1440,0,1920,550,900,1400,1680,230,1020,880
55000,76500,Chaotic Spring (dot),45,1.0,2430,1020,1080,500,2760,1020,560,1380,800,1020,760,1440,0,1920,550,900,1400,1680,230,1020,880
75620,76820,Wyrmwind Thrust,440,1.0,2430,1020,1080,500,2760,1020,560,1380,800,1020,760,1440,0,1920,550,900,1400,1680,230,1020,1320
76360,76892,Auto,90,1.0,2520,1020,1080,500,2760,1020,560,1380,800,1020,760,1440,0,1920,550,900,1400,1680,230,1020,1320
77500,78880,Spiral Blow,300,1.0,2520,1020,1080,500,2760,1020,560,1380,800,1020,760,1440,0,1920,550,1200,1400,1680,230,1020,1320
79160,79692,Auto,90,1.0,2610,1020,1080,500,2760,1020,560,1380,800,1020,760,1440,0,1920,550,1200,1400,1680,230,1020,1320
80000,80450,Chaotic Spring,340,1.0,2610,1360,1080,500,2760,1020,560,1380,800,1020,760,1440,0,1920,550,1200,1400,1680,230,1020,1320
81960,82492,Auto,90,1.0,2700,1360,1080,500,2760,1020,560,1380,800,1020,760,1440,0,1920,550,1200,1400,1680,230,1020,1320
80000,82500,Chaotic Spring (dot),45,1.0,2700,1360,1125,500,2760,1020,560,1380,800,1020,760,1440,0,1920,550,1200,1400,1680,230,1020,1320
82500,83120,Wheeling Thrust,340,1.0,2700,1360,1125,500,2760,1020,560,1380,800,1020,760,1440,0,1920,550,1200,1400,1680,230,1360,1320
83120,83610,High Jump,400,1.0,2700,1360,1125,500,2760,1020,560,1380,1200,1020,760,1440,0,1920,550,1200,1400,1680,230,1360,1320
83920,84720,Mirage Dive,380,1.0,2700,1360,1125,500,2760,1020,560,1380,1200,1020,1140,1440,0,1920,550,1200,1400,1680,230,1360,1320
84760,85292,Auto,90,1.0,2790,1360,1125,500,2760,1020,560,1380,1200,1020,1140,1440,0,1920,550,1200,1400,1680,230,1360,1320
80000,85500,Chaotic Spring (dot),45,1.0,2790,1360,1170,500,2760,1020,560,1380,1200,1020,1140,1440,0,1920,550,1200,1400,1680,230,1360,1320
85000,85620,Drakesbane,460,1.0,2790,1360,1170,500,3220,1020,560,1380,1200,1020,1140,1440,0,1920,550,1200,1400,1680,230,1360,1320
87560,88092,Auto,90,1.0,2880,1360,1170,500,3220,1020,560,1380,1200,1020,1140,1440,0,1920,550,1200,1400,1680,230,1360,1320
87500,88120,Raiden Thrust,320,1.0,2880,1360,1170,500,3220,1020,560,1380,1200,1020,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
80000,88500,Chaotic Spring (dot),45,1.0,2880,1360,1215,500,3220,1020,560,1380,1200,1020,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
90360,90892,Auto,90,1.0,2970,1360,1215,500,3220,1020,560,1380,1200,1020,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
90000,90940,Lance Barrage,340,1.0,2970,1360,1215,500,3220,1020,560,1380,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
80000,91500,Chaotic Spring (dot),45,1.0,2970,1360,1260,500,3220,1020,560,1380,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
92500,93210,Heavens' Thrust,460,1.0,2970,1360,1260,500,3220,1020,560,1840,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
93160,93692,Auto,90,1.0,3060,1360,1260,500,3220,1020,560,1840,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
80000,94500,Chaotic Spring (dot),45,1.0,3060,1360,1305,500,3220,1020,560,1840,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
95000,95620,Fang and Claw,340,1.0,3060,1360,1305,500,3220,1360,560,1840,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
95960,96492,Auto,90,1.0,3150,1360,1305,500,3220,1360,560,1840,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
80000,97500,Chaotic Spring (dot),45,1.0,3150,1360,1350,500,3220,1360,560,1840,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
97500,98120,Drakesbane,460,1.0,3150,1360,1350,500,3680,1360,560,1840,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
98760,99292,Auto,90,1.0,3240,1360,1350,500,3680,1360,560,1840,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
80000,100500,Chaotic Spring (dot),45,1.0,3240,1360,1395,500,3680,1360,560,1840,1200,1360,1140,1440,0,2240,550,1200,1400,1680,230,1360,1320
