sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Chaotic Spring,Chaotic Spring (dot),Dragonfire Dive,Drakesbane,Fang and Claw,Geirskogul,Heavens' Thrust,High Jump,Lance Barrage,Mirage Dive,Nastrond,Piercing Talon,Raiden Thrust,Rise of the Dragon,Spiral Blow,Starcross,Stardiver,True Thrust,Wheeling Thrust,Wyrmwind Thrust
35000,35620,Drakesbane,52741.0,180004,88583,60254,100174,274977,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,110300,77806
30000,37500,Chaotic Spring (dot),5579.0,180004,88583,65833,100174,274977,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,110300,77806
37160,37692,Auto,9619.0,189623,88583,65833,100174,274977,68118,45532,130075,80138,68118,76130,144251,0,122390,110195,68487,140250,168297,23973,110300,77806
37500,38120,Raiden Thrust,36689.0,189623,88583,65833,100174,274977,68118,45532,130075,80138,68118,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
39960,40492,Auto,9619.0,199242,88583,65833,100174,274977,68118,45532,130075,80138,68118,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
30000,40500,Chaotic Spring (dot),5579.0,199242,88583,71412,100174,274977,68118,45532,130075,80138,68118,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
40000,40940,Lance Barrage,38982.0,199242,88583,71412,100174,274977,68118,45532,130075,80138,107100,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
42500,43210,Heavens' Thrust,52741.0,199242,88583,71412,100174,274977,68118,45532,182816,80138,107100,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
42760,43292,Auto,9612.0,208854,88583,71412,100174,274977,68118,45532,182816,80138,107100,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
30000,43500,Chaotic Spring (dot),5579.0,208854,88583,76991,100174,274977,68118,45532,182816,80138,107100,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
45000,45620,Fang and Claw,38955.0,208854,88583,76991,100174,274977,107073,45532,182816,80138,107100,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
45560,46092,Auto,9612.0,218466,88583,76991,100174,274977,107073,45532,182816,80138,107100,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
30000,46500,Chaotic Spring (dot),5579.0,218466,88583,82570,100174,274977,107073,45532,182816,80138,107100,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
47500,48120,Drakesbane,52704.0,218466,88583,82570,100174,327681,107073,45532,182816,80138,107100,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
48360,48892,Auto,9612.0,228078,88583,82570,100174,327681,107073,45532,182816,80138,107100,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
30000,49500,Chaotic Spring (dot),5579.0,228078,88583,88149,100174,327681,107073,45532,182816,80138,107100,76130,144251,0,159079,110195,68487,140250,168297,23973,110300,77806
50000,50620,Raiden Thrust,36664.0,228078,88583,88149,100174,327681,107073,45532,182816,80138,107100,76130,144251,0,195743,110195,68487,140250,168297,23973,110300,77806
51160,51692,Auto,9612.0,237690,88583,88149,100174,327681,107073,45532,182816,80138,107100,76130,144251,0,195743,110195,68487,140250,168297,23973,110300,77806
50620,51820,Wyrmwind Thrust,50414.0,237690,88583,88149,100174,327681,107073,45532,182816,80138,107100,76130,144251,0,195743,110195,68487,140250,168297,23973,110300,128220
30000,52500,Chaotic Spring (dot),5579.0,237690,88583,93728,100174,327681,107073,45532,182816,80138,107100,76130,144251,0,195743,110195,68487,140250,168297,23973,110300,128220
53120,53610,High Jump,45832.0,237690,88583,93728,100174,327681,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,68487,140250,168297,23973,110300,128220
52500,53880,Spiral Blow,34372.0,237690,88583,93728,100174,327681,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,102859,140250,168297,23973,110300,128220
53960,54492,Auto,9612.0,247302,88583,93728,100174,327681,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,102859,140250,168297,23973,110300,128220
55000,55450,Chaotic Spring,38955.0,247302,127538,93728,100174,327681,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,102859,140250,168297,23973,110300,128220
55000,55500,Chaotic Spring (dot),5153.0,247302,127538,98881,100174,327681,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,102859,140250,168297,23973,110300,128220
56760,57292,Auto,9612.0,256914,127538,98881,100174,327681,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,102859,140250,168297,23973,110300,128220
57500,58120,Wheeling Thrust,38955.0,256914,127538,98881,100174,327681,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,102859,140250,168297,23973,149255,128220
55000,58500,Chaotic Spring (dot),5153.0,256914,127538,104034,100174,327681,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,102859,140250,168297,23973,149255,128220
59560,60092,Auto,9612.0,266526,127538,104034,100174,327681,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,102859,140250,168297,23973,149255,128220
60000,60620,Drakesbane,52704.0,266526,127538,104034,100174,380385,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,102859,140250,168297,23973,149255,128220
55000,61500,Chaotic Spring (dot),5153.0,266526,127538,109187,100174,380385,107073,45532,182816,125970,107100,76130,144251,0,195743,110195,102859,140250,168297,23973,149255,128220
