sim_timestamp,sim_damage_timestamp,sim_name,sim_potency,sim_weight,Abdomen Tear,Auto,Blasting Zone,Bow Shock,Bow Shock (dot),Brutal Shell,Burst Strike,Double Down,Eye Gouge,Gnashing Fang,Hypervelocity,Jugular Rip,Keen Edge,Lion Heart,Noble Blood,Reign of Beasts,Savage Claw,Solid Barrel,Sonic Break,Sonic Break (dot),Wicked Talon
70625,71252,Bow Shock,150,1.0,780,2250,1600,300,300,1520,420,2000,900,1760,180,880,1200,1000,900,800,1500,1840,340,600,1680
70893,71425,Auto,90,1.0,780,2340,1600,300,300,1520,420,2000,900,1760,180,880,1200,1000,900,800,1500,1840,340,600,1680
71250,71875,Blasting Zone,800,1.0,780,2340,2400,300,300,1520,420,2000,900,1760,180,880,1200,1000,900,800,1500,1840,340,600,1680
72500,73081,Sonic Break,340,1.0,780,2340,2400,300,300,1520,420,2000,900,1760,180,880,1200,1000,900,800,1500,1840,680,600,1680
70625,73500,Bow Shock (dot),60,1.0,780,2340,2400,300,360,1520,420,2000,900,1760,180,880,1200,1000,900,800,1500,1840,680,600,1680
72500,73500,Sonic Break (dot),120,1.0,780,2340,2400,300,360,1520,420,2000,900,1760,180,880,1200,1000,900,800,1500,1840,680,720,1680
73693,74225,Auto,90,1.0,780,2430,2400,300,360,1520,420,2000,900,1760,180,880,1200,1000,900,800,1500,1840,680,720,1680
75000,75625,Savage Claw,500,1.0,780,2430,2400,300,360,1520,420,2000,900,1760,180,880,1200,1000,900,800,2000,1840,680,720,1680
75625,76382,Abdomen Tear,260,1.0,1040,2430,2400,300,360,1520,420,2000,900,1760,180,880,1200,1000,900,800,2000,1840,680,720,1680
70625,76500,Bow Shock (dot),60,1.0,1040,2430,2400,300,420,1520,420,2000,900,1760,180,880,1200,1000,900,800,2000,1840,680,720,1680
72500,76500,Sonic Break (dot),120,1.0,1040,2430,2400,300,420,1520,420,2000,900,1760,180,880,1200,1000,900,800,2000,1840,680,840,1680
76493,77025,Auto,90,1.0,1040,2520,2400,300,420,1520,420,2000,900,1760,180,880,1200,1000,900,800,2000,1840,680,840,1680
77500,78662,Wicked Talon,560,1.0,1040,2520,2400,300,420,1520,420,2000,900,1760,180,880,1200,1000,900,800,2000,1840,680,840,2240
78125,79106,Eye Gouge,300,1.0,1040,2520,2400,300,420,1520,420,2000,1200,1760,180,880,1200,1000,900,800,2000,1840,680,840,2240
70625,79500,Bow Shock (dot),60,1.0,1040,2520,2400,300,480,1520,420,2000,1200,1760,180,880,1200,1000,900,800,2000,1840,680,840,2240
72500,79500,Sonic Break (dot),120,1.0,1040,2520,2400,300,480,1520,420,2000,1200,1760,180,880,1200,1000,900,800,2000,1840,680,960,2240
79293,79825,Auto,90,1.0,1040,2610,2400,300,480,1520,420,2000,1200,1760,180,880,1200,1000,900,800,2000,1840,680,960,2240
80000,81160,Reign of Beasts,800,1.0,1040,2610,2400,300,480,1520,420,2000,1200,1760,180,880,1200,1000,900,1600,2000,1840,680,960,2240
72500,82500,Sonic Break (dot),120,1.0,1040,2610,2400,300,480,1520,420,2000,1200,1760,180,880,1200,1000,900,1600,2000,1840,680,1080,2240
70625,82500,Bow Shock (dot),60,1.0,1040,2610,2400,300,540,1520,420,2000,1200,1760,180,880,1200,1000,900,1600,2000,1840,680,1080,2240
82093,82625,Auto,90,1.0,1040,2700,2400,300,540,1520,420,2000,1200,1760,180,880,1200,1000,900,1600,2000,1840,680,1080,2240
82500,84150,Noble Blood,900,1.0,1040,2700,2400,300,540,1520,420,2000,1200,1760,180,880,1200,1000,1800,1600,2000,1840,680,1080,2240
84893,85425,Auto,90,1.0,1040,2790,2400,300,540,1520,420,2000,1200,1760,180,880,1200,1000,1800,1600,2000,1840,680,1080,2240
72500,85500,Sonic Break (dot),120,1.0,1040,2790,2400,300,540,1520,420,2000,1200,1760,180,880,1200,1000,1800,1600,2000,1840,680,1200,2240
70625,85500,Bow Shock (dot),60,1.0,1040,2790,2400,300,600,1520,420,2000,1200,1760,180,880,1200,1000,1800,1600,2000,1840,680,1200,2240
85000,86790,Lion Heart,1000,1.0,1040,2790,2400,300,600,1520,420,2000,1200,1760,180,880,1200,2000,1800,1600,2000,1840,680,1200,2240
87693,88225,Auto,90,1.0,1040,2880,2400,300,600,1520,420,2000,1200,1760,180,880,1200,2000,1800,1600,2000,1840,680,1200,2240
87500,88393,Keen Edge,300,1.0,1040,2880,2400,300,600,1520,420,2000,1200,1760,180,880,1500,2000,1800,1600,2000,1840,680,1200,2240
90493,91025,Auto,90,1.0,1040,2970,2400,300,600,1520,420,2000,1200,1760,180,880,1500,2000,1800,1600,2000,1840,680,1200,2240
90000,91074,Brutal Shell,380,1.0,1040,2970,2400,300,600,1900,420,2000,1200,1760,180,880,1500,2000,1800,1600,2000,1840,680,1200,2240
93293,93825,Auto,90,1.0,1040,3060,2400,300,600,1900,420,2000,1200,1760,180,880,1500,2000,1800,1600,2000,1840,680,1200,2240
92500,94153,Solid Barrel,460,1.0,1040,3060,2400,300,600,1900,420,2000,1200,1760,180,880,1500,2000,1800,1600,2000,2300,680,1200,2240
95000,95893,Keen Edge,300,1.0,1040,3060,2400,300,600,1900,420,2000,1200,1760,180,880,1800,2000,1800,1600,2000,2300,680,1200,2240
96093,96625,Auto,90,1.0,1040,3150,2400,300,600,1900,420,2000,1200,1760,180,880,1800,2000,1800,1600,2000,2300,680,1200,2240
97500,98574,Brutal Shell,380,1.0,1040,3150,2400,300,600,2280,420,2000,1200,1760,180,880,1800,2000,1800,1600,2000,2300,680,1200,2240
98893,99425,Auto,90,1.0,1040,3240,2400,300,600,2280,420,2000,1200,1760,180,880,1800,2000,1800,1600,2000,2300,680,1200,2240
100625,101250,Blasting Zone,800,1.0,1040,3240,3200,300,600,2280,420,2000,1200,1760,180,880,1800,2000,1800,1600,2000,2300,680,1200,2240
100000,101653,Solid Barrel,460,1.0,1040,3240,3200,300,600,2280,420,2000,1200,1760,180,880,1800,2000,1800,1600,2000,2760,680,1200,2240
101693,102225,Auto,90,1.0,1040,3330,3200,300,600,2280,420,2000,1200,1760,180,880,1800,2000,1800,1600,2000,2760,680,1200,2240
102500,103214,Burst Strike,420,1.0,1040,3330,3200,300,600,2280,840,2000,1200,1760,180,880,1800,2000,1800,1600,2000,2760,680,1200,2240
103125,103883,Hypervelocity,180,1.0,1040,3330,3200,300,600,2280,840,2000,1200,1760,360,880,1800,2000,1800,1600,2000,2760,680,1200,2240
104493,105025,Auto,90,1.0,1040,3420,3200,300,600,2280,840,2000,1200,1760,360,880,1800,2000,1800,1600,2000,2760,680,1200,2240
105000,105893,Keen Edge,300,1.0,1040,3420,3200,300,600,2280,840,2000,1200,1760,360,880,2100,2000,1800,1600,2000,2760,680,1200,2240
107293,107825,Auto,90,1.0,1040,3510,3200,300,600,2280,840,2000,1200,1760,360,880,2100,2000,1800,1600,2000,2760,680,1200,2240
107500,108574,Brutal Shell,380,1.0,1040,3510,3200,300,600,2660,840,2000,1200,1760,360,880,2100,2000,1800,1600,2000,2760,680,1200,2240
110093,110625,Auto,90,1.0,1040,3600,3200,300,600,2660,840,2000,1200,1760,360,880,2100,2000,1800,1600,2000,2760,680,1200,2240
110000,111653,Solid Barrel,460,1.0,1040,3600,3200,300,600,2660,840,2000,1200,1760,360,880,2100,2000,1800,1600,2000,3220,680,1200,2240
112500,113214,Burst Strike,420,1.0,1040,3600,3200,300,600,2660,1260,2000,1200,1760,360,880,2100,2000,1800,1600,2000,3220,680,1200,2240
112893,113425,Auto,90,1.0,1040,3690,3200,300,600,2660,1260,2000,1200,1760,360,880,2100,2000,1800,1600,2000,3220,680,1200,2240
113125,113883,Hypervelocity,180,1.0,1040,3690,3200,300,600,2660,1260,2000,1200,1760,540,880,2100,2000,1800,1600,2000,3220,680,1200,2240
115000,115893,Keen Edge,300,1.0,1040,3690,3200,300,600,2660,1260,2000,1200,1760,540,880,2400,2000,1800,1600,2000,3220,680,1200,2240
115693,116225,Auto,90,1.0,1040,3780,3200,300,600,2660,1260,2000,1200,1760,540,880,2400,2000,1800,1600,2000,3220,680,1200,2240
117500,118574,Brutal Shell,380,1.0,1040,3780,3200,300,600,3040,1260,2000,1200,1760,540,880,2400,2000,1800,1600,2000,3220,680,1200,2240
118493,119025,Auto,90,1.0,1040,3870,3200,300,600,3040,1260,2000,1200,1760,540,880,2400,2000,1800,1600,2000,3220,680,1200,2240
120000,121653,Solid Barrel,460,1.0,1040,3870,3200,300,600,3040,1260,2000,1200,1760,540,880,2400,2000,1800,1600,2000,3680,680,1200,2240
121293,121825,Auto,90,1.0,1040,3960,3200,300,600,3040,1260,2000,1200,1760,540,880,2400,2000,1800,1600,2000,3680,680,1200,2240
122500,123123,Gnashing Fang,440,1.0,1040,3960,3200,300,600,3040,1260,2000,1200,2200,540,880,2400,2000,1800,1600,2000,3680,680,1200,2240
123750,124552,Jugular Rip,220,1.0,1040,3960,3200,300,600,3040,1260,2000,1200,2200,540,1100,2400,2000,1800,1600,2000,3680,680,1200,2240
124093,124625,Auto,90,1.0,1040,4050,3200,300,600,3040,1260,2000,1200,2200,540,1100,2400,2000,1800,1600,2000,3680,680,1200,2240
125000,125625,Savage Claw,500,1.0,1040,4050,3200,300,600,3040,1260,2000,1200,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2240
126250,127007,Abdomen Tear,260,1.0,1300,4050,3200,300,600,3040,1260,2000,1200,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2240
126893,127425,Auto,90,1.0,1300,4140,3200,300,600,3040,1260,2000,1200,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2240
127500,128662,Wicked Talon,560,1.0,1300,4140,3200,300,600,3040,1260,2000,1200,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2800
128125,129106,Eye Gouge,300,1.0,1300,4140,3200,300,600,3040,1260,2000,1500,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2800
129693,130225,Auto,90,1.0,1300,4230,3200,300,600,3040,1260,2000,1500,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2800
130000,130716,Double Down,1000,1.0,1300,4230,3200,300,600,3040,1260,3000,1500,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2800
130625,131252,Bow Shock,150,1.0,1300,4230,3200,450,600,3040,1260,3000,1500,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2800
131250,131875,Blasting Zone,800,1.0,1300,4230,4000,450,600,3040,1260,3000,1500,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2800
132493,133025,Auto,90,1.0,1300,4320,4000,450,600,3040,1260,3000,1500,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2800
130625,133500,Bow Shock (dot),60,1.0,1300,4320,4000,450,660,3040,1260,3000,1500,2200,540,1100,2400,2000,1800,1600,2500,3680,680,1200,2800
132500,133660,Reign of Beasts,800,1.0,1300,4320,4000,450,660,3040,1260,3000,1500,2200,540,1100,2400,2000,1800,2400,2500,3680,680,1200,2800
135293,135825,Auto,90,1.0,1300,4410,4000,450,660,3040,1260,3000,1500,2200,540,1100,2400,2000,1800,2400,2500,3680,680,1200,2800
130625,136500,Bow Shock (dot),60,1.0,1300,4410,4000,450,720,3040,1260,3000,1500,2200,540,1100,2400,2000,1800,2400,2500,3680,680,1200,2800
135000,136650,Noble Blood,900,1.0,1300,4410,4000,450,720,3040,1260,3000,1500,2200,540,1100,2400,2000,2700,2400,2500,3680,680,1200,2800
138093,138625,Auto,90,1.0,1300,4500,4000,450,720,3040,1260,3000,1500,2200,540,1100,2400,2000,2700,2400,2500,3680,680,1200,2800
137500,139290,Lion Heart,1000,1.0,1300,4500,4000,450,720,3040,1260,3000,1500,2200,540,1100,2400,3000,2700,2400,2500,3680,680,1200,2800
130625,139500,Bow Shock (dot),60,1.0,1300,4500,4000,450,780,3040,1260,3000,1500,2200,540,1100,2400,3000,2700,2400,2500,3680,680,1200,2800
140000,140623,Gnashing Fang,440,1.0,1300,4500,4000,450,780,3040,1260,3000,1500,2640,540,1100,2400,3000,2700,2400,2500,3680,680,1200,2800
140893,141425,Auto,90,1.0,1300,4590,4000,450,780,3040,1260,3000,1500,2640,540,1100,2400,3000,2700,2400,2500,3680,680,1200,2800
140625,141427,Jugular Rip,220,1.0,1300,4590,4000,450,780,3040,1260,3000,1500,2640,540,1320,2400,3000,2700,2400,2500,3680,680,1200,2800
130625,142500,Bow Shock (dot),60,1.0,1300,4590,4000,450,840,3040,1260,3000,1500,2640,540,1320,2400,3000,2700,2400,2500,3680,680,1200,2800
142500,143125,Savage Claw,500,1.0,1300,4590,4000,450,840,3040,1260,3000,1500,2640,540,1320,2400,3000,2700,2400,3000,3680,680,1200,2800
143125,143882,Abdomen Tear,260,1.0,1560,4590,4000,450,840,3040,1260,3000,1500,2640,540,1320,2400,3000,2700,2400,3000,3680,680,1200,2800
143693,144225,Auto,90,1.0,1560,4680,4000,450,840,3040,1260,3000,1500,2640,540,1320,2400,3000,2700,2400,3000,3680,680,1200,2800
130625,145500,Bow Shock (dot),60,1.0,1560,4680,4000,450,900,3040,1260,3000,1500,2640,540,1320,2400,3000,2700,2400,3000,3680,680,1200,2800
145000,145581,Sonic Break,340,1.0,1560,4680,4000,450,900,3040,1260,3000,1500,2640,540,1320,2400,3000,2700,2400,3000,3680,1020,1200,2800
146493,147025,Auto,90,1.0,1560,4770,4000,450,900,3040,1260,3000,1500,2640,540,1320,2400,3000,2700,2400,3000,3680,1020,1200,2800
145000,148500,Sonic Break (dot),120,1.0,1560,4770,4000,450,900,3040,1260,3000,1500,2640,540,1320,2400,3000,2700,2400,3000,3680,1020,1320,2800
147500,148662,Wicked Talon,560,1.0,1560,4770,4000,450,900,3040,1260,3000,1500,2640,540,1320,2400,3000,2700,2400,3000,3680,1020,1320,3360
148125,149106,Eye Gouge,300,1.0,1560,4770,4000,450,900,3040,1260,3000,1800,2640,540,1320,2400,3000,2700,2400,3000,3680,1020,1320,3360
149293,149825,Auto,90,1.0,1560,4860,4000,450,900,3040,1260,3000,1800,2640,540,1320,2400,3000,2700,2400,3000,3680,1020,1320,3360
150000,150893,Keen Edge,300,1.0,1560,4860,4000,450,900,3040,1260,3000,1800,2640,540,1320,2700,3000,2700,2400,3000,3680,1020,1320,3360
145000,151500,Sonic Break (dot),120,1.0,1560,4860,4000,450,900,3040,1260,3000,1800,2640,540,1320,2700,3000,2700,2400,3000,3680,1020,1440,3360
152093,152625,Auto,90,1.0,1560,4950,4000,450,900,3040,1260,3000,1800,2640,540,1320,2700,3000,2700,2400,3000,3680,1020,1440,3360
152500,153574,Brutal Shell,380,1.0,1560,4950,4000,450,900,3420,1260,3000,1800,2640,540,1320,2700,3000,2700,2400,3000,3680,1020,1440,3360
