sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Atonement,Auto,Blade of Faith,Blade of Honor,Blade of Truth,Blade of Valor,Circle of Scorn,Circle of Scorn (dot),Confiteor,Expiacion,Fast Blade,Goring Blade,Holy Spirit,Imperator,Intervene,Riot Blade,Royal Authority,Sepulchre,Supplication
593500,594258,Holy Spirit,39894.0,1030346,1560623,791401,1041303,916334,1041303,257336,275635,1041303,827599,475241,728897,1234026,603929,312312,715155,1038563,1212374,1153610
593858,594390,Auto,5328.0,1030346,1565951,791401,1041303,916334,1041303,257336,275635,1041303,827599,475241,728897,1234026,603929,312312,715155,1038563,1212374,1153610
596000,596623,Fast Blade,17548.0,1030346,1565951,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,715155,1038563,1212374,1153610
596098,596630,Auto,5328.0,1030346,1571279,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,715155,1038563,1212374,1153610
598338,598870,Auto,5328.0,1030346,1576607,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,715155,1038563,1212374,1153610
598500,599258,Riot Blade,26327.0,1030346,1576607,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,741482,1038563,1212374,1153610
600578,601110,Auto,5328.0,1030346,1581935,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,741482,1038563,1212374,1153610
601000,602290,Sepulchre,43082.0,1030346,1581935,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,741482,1038563,1255456,1153610
602818,603350,Auto,5328.0,1030346,1587263,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,741482,1038563,1255456,1153610
603500,604078,Royal Authority,36701.0,1030346,1587263,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,741482,1075264,1255456,1153610
605058,605590,Auto,5328.0,1030346,1592591,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,741482,1075264,1255456,1153610
606000,607293,Atonement,36701.0,1067047,1592591,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,741482,1075264,1255456,1153610
607298,607830,Auto,7016.0,1067047,1599607,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,603929,312312,741482,1075264,1255456,1153610
607250,608540,Imperator,60937.0,1067047,1599607,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,728897,1234026,664866,312312,741482,1075264,1255456,1153610
608500,609034,Goring Blade,73547.0,1067047,1599607,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,802444,1234026,664866,312312,741482,1075264,1255456,1153610
609538,610070,Auto,7016.0,1067047,1606623,791401,1041303,916334,1041303,257336,275635,1041303,827599,492789,802444,1234026,664866,312312,741482,1075264,1255456,1153610
