sim_timestamp,sim_damage_timestamp,sim_name,sim_expected,Auto,Gekko,Gyofu,Higanbana,Higanbana (dot),Hissatsu: Gyoten,Hissatsu: Senei,Hissatsu: Shinten,Jinpu,Kaeshi: Namikiri,Kaeshi: Setsugekka,Kasha,Midare Setsugekka,Ogi Namikiri,Shifu,Shoha,Tendo Kaeshi Setsugekka,Tendo Setsugekka,Yukikaze,Zanshin
13652,52500,Higanbana (dot),7686.0,231778,218595,147269,30387,99918,30380,121568,69852,34641,212819,0,164767,108739,212819,34616,97250,424961,424961,131901,142842
52824,53356,Auto,9237.0,241015,218595,147269,30387,99918,30380,121568,69852,34641,212819,0,164767,108739,212819,34616,97250,424961,424961,131901,142842
53514,54314,Yukikaze,39231.0,241015,218595,147269,30387,99918,30380,121568,69852,34641,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
13652,55500,Higanbana (dot),7686.0,241015,218595,147269,30387,107604,30380,121568,69852,34641,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
55114,55646,Auto,9237.0,250252,218595,147269,30387,107604,30380,121568,69852,34641,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
55654,56504,Gyofu,27692.0,250252,218595,174961,30387,107604,30380,121568,69852,34641,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
57404,57936,Auto,9237.0,259489,218595,174961,30387,107604,30380,121568,69852,34641,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
57794,58414,Jinpu,34616.0,259489,218595,174961,30387,107604,30380,121568,69852,69257,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
13652,58500,Higanbana (dot),7686.0,259489,218595,174961,30387,115290,30380,121568,69852,69257,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
58414,59034,Hissatsu: Shinten,28847.0,259489,218595,174961,30387,115290,30380,121568,98699,69257,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
59694,60226,Auto,9237.0,268726,218595,174961,30387,115290,30380,121568,98699,69257,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
59935,60695,Gekko,48462.0,268726,267057,174961,30387,115290,30380,121568,98699,69257,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
13652,61500,Higanbana (dot),7686.0,268726,267057,174961,30387,122976,30380,121568,98699,69257,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
61984,62516,Auto,9237.0,277963,267057,174961,30387,122976,30380,121568,98699,69257,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
62075,62925,Gyofu,27692.0,277963,267057,202653,30387,122976,30380,121568,98699,69257,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
62695,63315,Hissatsu: Shinten,28847.0,277963,267057,202653,30387,122976,30380,121568,127546,69257,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
13652,64500,Higanbana (dot),7686.0,277963,267057,202653,30387,130662,30380,121568,127546,69257,212819,0,164767,108739,212819,34616,97250,424961,424961,171132,142842
